t_ns,gx,gy,gz,bx,by,bz
15885322051840,-0.018325943,0.15760311,-0.0061086477,-0.0120037,8.72664E-5,0.0070713
15885324431007,-0.07819069,0.17226386,-0.018325943,-0.0120037,8.72664E-5,0.0070713
15885326810174,-0.11484258,0.16371176,-0.0061086477,-0.0120037,8.72664E-5,0.0070713
15885329189340,-0.08552107,0.16859868,-0.0073303776,-0.0120037,8.72664E-5,0.0070713
15885331568507,-0.07086031,0.14538582,0.0036651888,-0.0120037,8.72664E-5,0.0070713
15885333947674,-0.014660755,0.13072506,0.017104214,-0.0120037,8.72664E-5,0.0070713
15885336326788,-0.035430156,0.10140356,0.032986697,-0.0120037,8.72664E-5,0.0070713
15885338706007,-0.028099779,0.074525505,0.042760536,-0.0120037,8.72664E-5,0.0070713
15885341085174,-0.09773836,0.045203995,0.06108648,-0.0120037,8.72664E-5,0.0070713
15885343464288,-0.11484258,0.040317077,0.062308207,-0.0120037,8.72664E-5,0.0070713
15885345843455,-0.16493349,0.023212861,0.067195125,-0.0120037,8.72664E-5,0.0070713
15885348222674,-0.118507765,0.015882485,0.06963859,-0.0120037,8.72664E-5,0.0070713
15885350601788,-0.09773836,0.021991132,0.06475167,-0.0120037,8.72664E-5,0.0070713
15885352980955,-0.039095346,0.010995566,0.067195125,-0.0120037,8.72664E-5,0.0070713
15885355360122,-0.07941242,0.03176497,0.05497783,-0.0120037,8.72664E-5,0.0070713
15885357739288,-0.067195125,0.05497783,0.039095346,-0.0120037,8.72664E-5,0.0070713
15885360118455,-0.16249003,0.092851445,0.013439025,-0.0120037,8.72664E-5,0.0070713
15885362497622,-0.16859868,0.100181825,0.008552107,-0.0120037,8.72664E-5,0.0070713
15885364876788,-0.16004658,0.14172062,-0.019547673,-0.0120037,8.72664E-5,0.0070713
15885367255955,-0.035430156,0.14416409,-0.034208428,-0.0120037,8.72664E-5,0.0070713
15885369635122,0.013439025,0.17715079,-0.05253437,-0.0120037,8.72664E-5,0.0070713
