t_ns,ax,ay,az
15936342018745,0.28069744,-0.79636955,1.6960044
15936346777130,0.057706296,0.7761173,0.38899064
15936351535463,-0.10566004,-0.12464237,-2.5969357
15936356293745,-0.20970921,0.65258026,1.389209
15936361052078,-0.14139599,0.12548828,1.6682572
15936365810411,-0.12017409,-0.13980961,-0.6093712
15936370568693,-0.30110842,1.3398762,0.12693334
15936375326974,-0.07946788,0.7862425,0.36080933
15936380085359,0.31166387,0.4316988,0.5441003
15936384843641,0.83330375,1.2122107,0.5802305
15936389601974,0.92905515,0.50406075,-1.1885998
15936394360307,0.5505881,-0.50445557,0.3119216
15936399118588,0.01713249,0.07165241,1.7845466
15936403876922,-0.37531465,0.47345448,0.101082325
15936408635255,-0.65358615,0.007833481,0.17966509
15936413393536,-0.83081925,0.30656624,2.0577576
15936418151870,-0.55496806,0.5289564,0.80405426
15936422910203,-0.09308843,-0.46472836,0.016434908
15936427668484,0.25311983,-0.08405781,1.7105699
15936432426818,0.69657564,0.26056004,0.89501977
15936437185151,1.0994226,0.020237923,0.26447392
15936441943432,1.3265897,-0.23516846,2.2324946
15936446701766,1.1873741,0.06624603,1.5173633
15936451460047,0.7005503,-0.41761494,-0.70338154
15936456218380,-0.020651907,-1.2934637,0.91117644
15936460976713,-0.60444194,0.13266182,1.8344164
15936465734995,-0.77363944,0.08051109,0.13872457
15936470493328,-0.68049073,-0.25489998,-0.4699738
15936475251661,-0.44886935,0.14768887,2.019014
15936480009943,-0.25565898,-0.3206911,1.2966938
15936484768276,-0.122470185,-0.45737934,-1.0792134
15936489526609,0.07489064,-1.0674801,0.53026724
15936494284891,0.30313885,-0.6339426,1.7756019
15936499043224,0.5489067,0.31883907,-0.9769087
15936503801557,0.58080935,-0.23466873,-0.5057254
15936508559838,0.29997241,-0.14874458,2.1245868
15936513318172,-0.045507595,-0.055574417,-0.5327215
15936518076505,-0.22399125,0.075097084,-2.165628
15936522834786,-0.26931608,-0.83078766,1.355027
15936527593120,-0.26789182,-0.14524555,0.883471
15936532351453,0.0053646564,0.4035015,-3.2836905
15936537109734,0.36984628,-0.74542904,-0.33782506
15936541868068,0.534444,-0.064808846,2.476383
15936546626401,0.54706484,-0.25562954,-2.6799302
15936551384682,0.19959712,-0.42072487,-2.6261528
15936556143016,-0.18381667,-0.6573734,2.483113
15936560901297,-0.49140143,-0.5955963,0.14074826
