t_ns,qx,qy,qz,qw,heading_acc_rad
15918055761788,0.18033887,-0.5309892,-0.76438725,0.31818312,-1.0
15918060520122,0.180633,-0.5309396,-0.7642774,0.3183629,-1.0
15918065278507,0.18077253,-0.5306637,-0.7643716,0.3185175,-1.0
15918070036788,0.18085521,-0.5301925,-0.7645619,0.31879833,-1.0
15918074795174,0.18104932,-0.53003705,-0.76452005,0.31904703,-1.0
15918079553507,0.18120131,-0.5301707,-0.7643487,0.3191492,-1.0
15918084311840,0.18120725,-0.53009886,-0.7643191,0.3193358,-1.0
15918089070174,0.18138647,-0.5299778,-0.76421666,0.31968012,-1.0
15918093828507,0.18185847,-0.5302364,-0.763819,0.31993338,-1.0
15918098586840,0.18246092,-0.5303995,-0.76349527,0.32009277,-1.0
15918103345174,0.18315612,-0.5302085,-0.7633523,0.320353,-1.0
15918108103507,0.18398833,-0.5301586,-0.7630799,0.3206077,-1.0
15918112861840,0.18477292,-0.530336,-0.7627321,0.3206906,-1.0
15918117620174,0.18528643,-0.5305425,-0.76246446,0.32068914,-1.0
15918122378507,0.18544991,-0.5307016,-0.7622934,0.32073808,-1.0
15918127136840,0.18537754,-0.5310173,-0.76205426,0.32082567,-1.0
15918131895174,0.18523575,-0.5313093,-0.7618341,0.32094696,-1.0
15918136653507,0.18515708,-0.5314066,-0.76169425,0.32116315,-1.0
15918141411840,0.185205,-0.53134066,-0.7615924,0.3214859,-1.0
15918146170174,0.1854169,-0.53126395,-0.7614439,0.3218421,-1.0
15918150928507,0.18582043,-0.53130686,-0.76117945,0.32216406,-1.0
15918155686840,0.18625636,-0.5313952,-0.7608973,0.32243302,-1.0
15918160445174,0.1867329,-0.5313814,-0.7606608,0.32273787,-1.0
15918165203559,0.18741326,-0.5314802,-0.7603084,0.32301122,-1.0
15918169961840,0.18810916,-0.5315808,-0.7600015,0.32316336,-1.0
15918174720226,0.18866836,-0.5315531,-0.7598239,0.32330036,-1.0
15918179478559,0.1891732,-0.53154725,-0.7596447,0.3234362,-1.0
15918184236893,0.18952815,-0.531598,-0.7594938,0.3234993,-1.0
15918188995226,0.18964854,-0.5315904,-0.7594432,0.32356,-1.0
15918193753559,0.18958859,-0.5315342,-0.75944465,0.32368407,-1.0
15918198511893,0.18957299,-0.53157395,-0.75936496,0.32381493,-1.0
15918203270226,0.18959254,-0.5314576,-0.75938433,0.32394892,-1.0
15918208028559,0.18973844,-0.531075,-0.75950843,0.32419986,-1.0
15918212786893,0.19015448,-0.530782,-0.75950426,0.3244457,-1.0
15918217545226,0.19074857,-0.5306648,-0.7593874,0.32456222,-1.0
15918222303559,0.19123529,-0.5303234,-0.75946337,0.32465604,-1.0
15918227061893,0.1915996,-0.52983606,-0.7596315,0.3248436,-1.0
15918231820226,0.19187598,-0.5296117,-0.75966,0.3249796,-1.0
15918236578559,0.19188954,-0.5295152,-0.75970364,0.32502684,-1.0
15918241336893,0.19161093,-0.5293026,-0.75985956,0.32517293,-1.0
15918246095226,0.19135907,-0.5291942,-0.75987524,0.32546103,-1.0
15918250853559,0.19131275,-0.52915114,-0.75977445,0.3257933,-1.0
15918255611893,0.19150715,-0.52893186,-0.759716,0.3261713,-1.0
15918260370226,0.1920288,-0.5285768,-0.75964254,0.32661095,-1.0
15918265128611,0.19280662,-0.52832437,-0.75947165,0.3269584,-1.0
15918269886945,0.19362347,-0.5280711,-0.75934774,0.32717264,-1.0
15918274645278,0.19425347,-0.52770245,-0.7593575,0.32737118,-1.0
15918279403611,0.1945977,-0.52742,-0.759383,0.32756266,-1.0
15918284161945,0.19472572,-0.527389,-0.7593219,0.32767805,-1.0
15918288920174,0.19468254,-0.5273701,-0.7593138,0.32775292,-1.0
15918293678611,0.19455898,-0.52724373,-0.75937176,0.32789534,-1.0
15918298436945,0.19452843,-0.5272559,-0.7593069,0.32804415,-1.0
15918303195278,0.1945555,-0.52730983,-0.7592268,0.32812685,-1.0
15918307953611,0.19457872,-0.52707857,-0.7593131,0.32828483,-1.0
15918312711945,0.19471404,-0.5267934,-0.759365,0.3285421,-1.0
15918317470278,0.19500968,-0.5265926,-0.75933534,0.32875723,-1.0
15918322228611,0.19534813,-0.5262579,-0.7594007,0.3289411,-1.0
15918326986945,0.1956761,-0.5258217,-0.7595303,0.3291445,-1.0
15918331745278,0.19594672,-0.52544737,-0.7596421,0.32932317,-1.0
15918336503611,0.19609816,-0.52519405,-0.75973195,0.32942992,-1.0
15918341261945,0.19609164,-0.52502865,-0.7598137,0.32950893,-1.0
15918346020278,0.19594337,-0.524943,-0.7598698,0.3296041,-1.0
15918350778611,0.19583996,-0.52500355,-0.759814,0.3296979,-1.0
