t_ns,qx,qy,qz,qw
15857077703530,0.3706456,0.39569205,0.5868984,0.60133183
15857082461915,0.3708454,0.39577952,0.5868505,0.6011978
15857087220301,0.37101635,0.39585796,0.5868073,0.6010828
15857091978686,0.37115967,0.39594218,0.5867593,0.6009857
15857096737071,0.37134448,0.39610276,0.58666444,0.6008584
15857101495405,0.3715142,0.39624953,0.5865776,0.60074145
15857106253790,0.37161642,0.39631099,0.5865253,0.60068876
15857111012176,0.37174845,0.39637443,0.5864671,0.60062194
15857115770509,0.371934,0.3964683,0.5863937,0.6005168
15857120528894,0.37207082,0.3964824,0.58636856,0.6004473
15857125287280,0.3721779,0.3964606,0.58636415,0.6003997
15857130045665,0.37233526,0.39644682,0.5863494,0.60032547
15857134804051,0.37251282,0.39641783,0.58633864,0.60024506
15857139562384,0.37265515,0.39631203,0.5863788,0.6001873
15857144320769,0.37278178,0.39616203,0.58643985,0.6001481
15857149079155,0.37293935,0.39606917,0.58647275,0.60007936
15857153837488,0.3730448,0.39594,0.5865275,0.6000455
15857158595874,0.37309197,0.39578354,0.5865893,0.600059
15857163354259,0.3731403,0.39568374,0.58661324,0.6000713
15857168112644,0.3731723,0.39561653,0.5866101,0.60009885
15857172870978,0.37316072,0.3955665,0.5865928,0.60015595
15857177629363,0.3731087,0.39553255,0.5865591,0.6002435
15857182387749,0.37305078,0.39554065,0.5864956,0.60033625
15857187146134,0.37298453,0.39555985,0.5864238,0.6004349
15857191904467,0.37286288,0.3955692,0.5863618,0.60056484
15857196662853,0.37273327,0.3956319,0.58627516,0.60068846
15857201421238,0.37258595,0.39574724,0.58616704,0.60080945
15857206179624,0.37239423,0.3958619,0.5860593,0.600958
15857210937957,0.37218106,0.39597878,0.5859495,0.60112005
15857215696342,0.37199455,0.39609605,0.58583546,0.60126936
15857220454728,0.3718353,0.39619833,0.58572483,0.6014082
15857225213113,0.37170058,0.3962706,0.58563536,0.60153097
15857229971446,0.3716133,0.39631566,0.5855707,0.60161805
15857234729832,0.37157133,0.3963284,0.5855319,0.6016735
15857239488217,0.37154013,0.39630318,0.58552104,0.6017199
15857244246551,0.37152985,0.3962555,0.58552736,0.60175145
15857249004936,0.3715549,0.39620817,0.5855385,0.60175633
15857253763321,0.37160861,0.3961622,0.5855512,0.6017411
15857258521707,0.37167227,0.39610884,0.58556706,0.6017214
15857263280040,0.37174818,0.3960449,0.5855874,0.6016969
15857268038426,0.37184775,0.39598277,0.5856024,0.6016616
15857272796811,0.37195933,0.39591324,0.5856176,0.60162365
15857277555196,0.37208465,0.39581624,0.5856482,0.60158014
