t_ns,qx,qy,qz,qw,heading_acc_rad
20776134812049,0.24554475,-0.47694385,-0.7762267,0.33121654,-1.0
20776139569965,0.24576524,-0.47688124,-0.7761685,0.3312796,-1.0
20776144327934,0.24611609,-0.4768481,-0.7760282,0.33139554,-1.0
20776149085903,0.24670957,-0.476852,-0.77570957,0.3316945,-1.0
20776153843820,0.24686341,-0.47676575,-0.77569544,0.33173698,-1.0
20776158601788,0.24695858,-0.4767195,-0.77568835,0.33174923,-1.0
20776163359757,0.2472433,-0.47689626,-0.7753755,0.33201447,-1.0
20776168117726,0.24710408,-0.47701818,-0.7753112,0.33209303,-1.0
20776172875642,0.24667485,-0.4769998,-0.7755136,0.33196592,-1.0
20776177633611,0.24624695,-0.47712868,-0.775601,0.33189413,-1.0
20776182391580,0.24609774,-0.47727707,-0.77551836,0.33198455,-1.0
20776187149497,0.24597195,-0.47726697,-0.7755584,0.3319988,-1.0
20776191907465,0.24592754,-0.4771559,-0.775659,0.3319563,-1.0
20776196665434,0.24635907,-0.47702622,-0.77553034,0.3321233,-1.0
20776201423351,0.24688137,-0.47680113,-0.7754293,0.33229446,-1.0
20776206181267,0.24730028,-0.47640824,-0.7755234,0.33232683,-1.0
20776210939288,0.24774073,-0.47605821,-0.7755715,0.33238822,-1.0
20776215697205,0.24816607,-0.4758623,-0.7754884,0.33254543,-1.0
20776220455174,0.24836294,-0.4757427,-0.7754425,0.33267656,-1.0
20776225213142,0.24820578,-0.47571498,-0.7755002,0.33269894,-1.0
20776229971059,0.24793278,-0.47585782,-0.77547646,0.3327535,-1.0
20776234729028,0.24762277,-0.4761295,-0.775356,0.33287644,-1.0
20776239486997,0.24715619,-0.4763691,-0.7753399,0.33291784,-1.0
20776244244965,0.2466349,-0.4765247,-0.7754286,0.33287525,-1.0
20776249002882,0.24625413,-0.4766494,-0.7754778,0.3328639,-1.0
20776253760851,0.24603534,-0.47669908,-0.77551025,0.33287904,-1.0
20776258518820,0.24585448,-0.4766254,-0.7756316,0.33283544,-1.0
20776263276736,0.24579532,-0.47652775,-0.7757201,0.3328126,-1.0
