t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed_raw,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
7.0900,CALIB,0.0609,0.0082,0.0000,116.5001,286.9995,170.4995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0609,0.0082,0.0000,0.0609,0.0082,0.0000,0.0609,0.0082,0.0000,0.0000
7.1900,CALIB,0.0587,0.0108,0.0000,116.5001,287.0023,170.5022,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0587,0.0108,0.0000,0.0587,0.0108,0.0000,0.0587,0.0108,0.0000,0.0000
7.2900,CALIB,0.0564,0.0133,0.0000,116.5001,287.0028,170.5027,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0564,0.0133,0.0000,0.0564,0.0133,0.0000,0.0564,0.0133,0.0000,0.0000
7.3900,CALIB,0.0539,0.0155,0.0000,116.5001,287.0029,170.5028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0539,0.0155,0.0000,0.0539,0.0155,0.0000,0.0539,0.0155,0.0000,0.0000
7.4900,CALIB,0.0513,0.0175,0.0000,116.5001,287.0037,170.5036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0513,0.0175,0.0000,0.0513,0.0175,0.0000,0.0513,0.0175,0.0000,0.0000
7.5900,CALIB,0.0484,0.0190,0.0000,116.5001,287.0036,170.5036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0484,0.0190,0.0000,0.0484,0.0190,0.0000,0.0484,0.0190,0.0000,0.0000
7.6900,CALIB,0.0452,0.0202,0.0000,116.5001,287.0039,170.5039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0452,0.0202,0.0000,0.0452,0.0202,0.0000,0.0452,0.0202,0.0000,0.0000
7.7900,CALIB,0.0416,0.0214,0.0000,116.5001,287.0042,170.5042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0416,0.0214,0.0000,0.0416,0.0214,0.0000,0.0416,0.0214,0.0000,0.0000
7.8900,CALIB,0.0376,0.0225,0.0000,116.5001,287.0044,170.5043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0376,0.0225,0.0000,0.0376,0.0225,0.0000,0.0376,0.0225,0.0000,0.0000
7.9900,CALIB,0.0331,0.0236,0.0000,116.5001,287.0041,170.5040,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0331,0.0236,0.0000,0.0331,0.0236,0.0000,0.0331,0.0236,0.0000,0.0000
8.0900,CALIB,0.0284,0.0245,0.0000,116.5001,287.0029,170.5028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0284,0.0245,0.0000,0.0284,0.0245,0.0000,0.0284,0.0245,0.0000,0.0000
8.1900,CALIB,0.0235,0.0254,0.0000,116.5001,287.0043,170.5042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0235,0.0254,0.0000,0.0235,0.0254,0.0000,0.0235,0.0254,0.0000,0.0000
8.2900,CALIB,0.0185,0.0262,0.0000,116.5001,287.0038,170.5037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0185,0.0262,0.0000,0.0185,0.0262,0.0000,0.0185,0.0262,0.0000,0.0000
8.3900,CALIB,0.0135,0.0267,0.0000,116.5001,286.9997,170.4996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0135,0.0267,0.0000,0.0135,0.0267,0.0000,0.0135,0.0267,0.0000,0.0000
8.4900,CALIB,0.0084,0.0272,0.0000,116.5001,286.9971,170.4971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,0.0272,0.0000,0.0084,0.0272,0.0000,0.0084,0.0272,0.0000,0.0000
8.5900,CALIB,0.0035,0.0274,0.0000,116.5001,286.9985,170.4985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0035,0.0274,0.0000,0.0035,0.0274,0.0000,0.0035,0.0274,0.0000,0.0000
8.6900,CALIB,-0.0013,0.0274,0.0000,116.5001,286.9969,170.4969,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0013,0.0274,0.0000,-0.0013,0.0274,0.0000,-0.0013,0.0274,0.0000,0.0000
8.7900,CALIB,-0.0063,0.0274,0.0000,116.5001,286.9986,170.4985,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0063,0.0274,0.0000,-0.0063,0.0274,0.0000,-0.0063,0.0274,0.0000,0.0000
8.8900,CALIB,-0.0115,0.0274,0.0000,116.5001,286.9965,170.4964,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0115,0.0274,0.0000,-0.0115,0.0274,0.0000,-0.0115,0.0274,0.0000,0.0000
8.9900,CALIB,-0.0168,0.0273,0.0000,116.5001,286.9956,170.4956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0168,0.0273,0.0000,-0.0168,0.0273,0.0000,-0.0168,0.0273,0.0000,0.0000
9.0900,CALIB,-0.0222,0.0272,0.0000,116.5001,286.9974,170.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0222,0.0272,0.0000,-0.0222,0.0272,0.0000,-0.0222,0.0272,0.0000,0.0000
9.1900,CALIB,-0.0274,0.0271,0.0000,116.5001,286.9953,170.4953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0274,0.0271,0.0000,-0.0274,0.0271,0.0000,-0.0274,0.0271,0.0000,0.0000
9.2900,CALIB,-0.0325,0.0269,0.0000,116.5001,287.0000,170.4999,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0325,0.0269,0.0000,-0.0325,0.0269,0.0000,-0.0325,0.0269,0.0000,0.0000
9.3900,CALIB,-0.0374,0.0268,0.0000,116.5001,286.9937,170.4937,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0374,0.0268,0.0000,-0.0374,0.0268,0.0000,-0.0374,0.0268,0.0000,0.0000
9.4900,CALIB,-0.0419,0.0266,0.0000,116.5001,286.9946,170.4945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0419,0.0266,0.0000,-0.0419,0.0266,0.0000,-0.0419,0.0266,0.0000,0.0000
