t_ns,qx,qy,qz,qw,heading_acc_rad
28041668742716,0.19780812,-0.21552329,-0.8181934,0.49495584,-1.0
28041673500789,0.19783232,-0.21566556,-0.8180722,0.49508446,-1.0
28041678258810,0.19782841,-0.21581893,-0.81796247,0.4952005,-1.0
28041683016831,0.19781132,-0.2159851,-0.8178569,0.49530917,-1.0
28041687774852,0.19776917,-0.2161582,-0.81776345,0.49540484,-1.0
28041692532873,0.19772288,-0.21633148,-0.8176757,0.49549246,-1.0
28041697290893,0.19769712,-0.21650253,-0.81758344,0.49558026,-1.0
28041702048914,0.19769087,-0.21665151,-0.8175005,0.4956545,-1.0
28041706806935,0.19769631,-0.21677929,-0.81742924,0.49571395,-1.0
28041711564956,0.19770974,-0.21689412,-0.81737447,0.49574873,-1.0
28041716322977,0.19772981,-0.2169969,-0.8173352,0.4957605,-1.0
28041721080998,0.19775158,-0.21709168,-0.81730914,0.4957533,-1.0
28041725839018,0.19779025,-0.21715881,-0.81730527,0.4957148,-1.0
28041730597039,0.19787587,-0.2172027,-0.81729996,0.4956702,-1.0
28041735355060,0.19797482,-0.21722285,-0.8173044,0.4956145,-1.0
28041740113081,0.19811879,-0.2172128,-0.81730133,0.49556643,-1.0
28041744871102,0.19828674,-0.21717717,-0.8172969,0.49552217,-1.0
28041749629175,0.19848123,-0.2171227,-0.81728274,0.49549156,-1.0
28041754387196,0.19869708,-0.21705572,-0.8172539,0.49548194,-1.0
28041759145216,0.19894406,-0.21696319,-0.81721216,0.49549216,-1.0
28041763903237,0.1992011,-0.21685365,-0.8171585,0.49552533,-1.0
28041768661258,0.19947092,-0.21672009,-0.81709146,0.49558577,-1.0
28041773419279,0.19974326,-0.21659113,-0.81700003,0.49568322,-1.0
28041778177300,0.20001078,-0.21644796,-0.8169,0.49580276,-1.0
28041782935321,0.20026447,-0.21628995,-0.81679314,0.49594536,-1.0
28041787693341,0.20051716,-0.21610087,-0.8166817,0.4961092,-1.0
28041792451362,0.20076075,-0.21589059,-0.8165669,0.4962912,-1.0
28041797209383,0.20098478,-0.215656,-0.8164559,0.49648502,-1.0
28041801967404,0.20121786,-0.21539624,-0.8163356,0.4967011,-1.0
28041806725425,0.20146553,-0.21510632,-0.8162107,0.49693158,-1.0
28041811483446,0.20172559,-0.2147973,-0.81607705,0.4971792,-1.0
28041816241466,0.20198219,-0.2144673,-0.81594825,0.49742883,-1.0
28041820999487,0.20225014,-0.21412562,-0.8158159,0.4976841,-1.0
28041825757560,0.20250542,-0.2137574,-0.81570446,0.49792123,-1.0
28041830515581,0.20275511,-0.21338348,-0.81560206,0.49814767,-1.0
28041835273602,0.20301336,-0.21300152,-0.8155102,0.49835628,-1.0
28041840031623,0.20328192,-0.21261764,-0.8154187,0.49856046,-1.0
28041844789643,0.20357166,-0.21222998,-0.81533045,0.4987517,-1.0
28041849547664,0.20386015,-0.2118385,-0.81526434,0.4989084,-1.0
28041854305685,0.20414886,-0.21145867,-0.81521493,0.49903214,-1.0
28041859063706,0.20443985,-0.21108088,-0.8151887,0.4991158,-1.0
28041863821727,0.20472349,-0.21072026,-0.81518215,0.4991626,-1.0
28041868579748,0.20498136,-0.21038347,-0.81520647,0.49915913,-1.0
28041873337768,0.20521109,-0.21006294,-0.8152642,0.49910545,-1.0
28041878095789,0.20540833,-0.20975178,-0.8153581,0.4990018,-1.0
28041882853810,0.20556225,-0.2094679,-0.81547695,0.49886337,-1.0
28041887611831,0.20567505,-0.20919822,-0.81562287,0.4986915,-1.0
28041892369852,0.20576786,-0.20894405,-0.8157756,0.49850997,-1.0
28041897127925,0.20583424,-0.20869291,-0.81594163,0.498316,-1.0
28041901885946,0.20588836,-0.20844178,-0.816109,0.4981246,-1.0
28041906643966,0.20591928,-0.20818874,-0.8162793,0.4979386,-1.0
28041911401987,0.20592546,-0.20793399,-0.8164473,0.49776697,-1.0
28041916160008,0.20590803,-0.20767586,-0.8166138,0.49760884,-1.0
28041920918029,0.20586315,-0.20741881,-0.8167745,0.4974708,-1.0
28041925676050,0.20577884,-0.20717719,-0.81692725,0.49735552,-1.0
28041930434071,0.20564799,-0.20694989,-0.8170788,0.49725527,-1.0
28041935192091,0.20548332,-0.20674309,-0.8172224,0.4971734,-1.0
28041939950112,0.20528165,-0.20657979,-0.8173507,0.4971138,-1.0
28041944708133,0.20506728,-0.2064553,-0.8174568,0.4970795,-1.0
28041949466154,0.20487013,-0.20635581,-0.81753725,0.49706978,-1.0
28041954224175,0.20469734,-0.2062967,-0.81758744,0.497083,-1.0
28041958982248,0.20455366,-0.20628704,-0.81760305,0.49712038,-1.0
28041963740268,0.2044462,-0.2063243,-0.8175893,0.4971718,-1.0
28041968498289,0.20440003,-0.20640415,-0.81754017,0.49723843,-1.0
28041973256310,0.20442452,-0.20652743,-0.81745523,0.4973168,-1.0
28041978014331,0.20454395,-0.20670016,-0.8173182,0.49742115,-1.0
28041982772352,0.20477858,-0.20691416,-0.81712496,0.49755305,-1.0
28041987530268,0.20511705,-0.20717126,-0.81688315,0.49770373,-1.0
