t_ns,mx,my,mz,accuracy
28045321423862,-27.69375,-11.64375,-22.66875,3
28045331423862,-28.800001,-13.556251,-22.48125,3
28045341423862,-28.312502,-11.606251,-22.7625,3
28045351423862,-29.587502,-14.156251,-20.681252,3
28045361423862,-28.593752,-12.39375,-22.85625,3
28045371423862,-27.581251,-11.75625,-22.06875,3
28045381423862,-29.56875,-13.406251,-21.9375,3
28045391423862,-30.206251,-11.231251,-19.931252,3
28045401423862,-28.7625,-11.2875,-21.487501,3
28045411423862,-26.400002,-10.087501,-21.0375,3
28045421423862,-29.081251,-14.08125,-21.056252,3
28045431423862,-26.19375,-10.931251,-22.40625,3
28045441423862,-28.0125,-11.56875,-22.03125,3
28045451423862,-25.81875,-9.50625,-21.581251,3
28045461423862,-26.5125,-8.34375,-22.9125,3
28045471423862,-26.04375,-9.543751,-24.468752,3
28045481423862,-25.875002,-11.15625,-23.5125,3
28045491423862,-26.85,-9.39375,-22.987501,3
28045501423862,-25.181252,-10.556251,-22.6875,3
28045511423862,-24.562502,-9.09375,-24.656252,3
28045521423862,-24.581251,-12.731251,-23.625,3
28045531423862,-25.66875,-11.493751,-21.993752,3
28045541423862,-25.687502,-12.637501,-22.425001,3
28045551423862,-24.45,-10.837501,-22.78125,3
28045561423862,-26.00625,-11.793751,-22.875,3
28045571423862,-25.368752,-11.83125,-23.400002,3
28045581423862,-24.6375,-11.7375,-21.65625,3
28045591423862,-23.475,-12.58125,-23.1375,3
28045601423862,-24.018751,-12.656251,-21.54375,3
28045611423862,-24.91875,-13.5375,-22.331251,3
28045621423862,-26.400002,-14.1,-22.7625,3
28045631423862,-26.475,-14.493751,-22.275002,3
28045641423862,-25.275002,-12.95625,-22.3125,3
28045651423862,-26.025002,-15.056251,-20.00625,3
28045661423862,-26.025002,-15.056251,-20.00625,3
28045671423862,-25.143751,-14.681251,-21.206251,3
28045681423862,-25.10625,-14.437501,-20.90625,3
28045691423862,-24.656252,-15.50625,-21.225,3
28045701423862,-24.0,-15.281251,-20.85,3
28045711423862,-24.975,-15.3,-19.81875,3
28045721423862,-27.16875,-17.34375,-20.118752,3
28045731423862,-25.931252,-15.543751,-20.625,3
28045741423862,-25.66875,-16.143751,-22.0125,3
28045751423862,-25.181252,-14.94375,-21.487501,3
28045761423862,-25.66875,-15.01875,-20.8125,3
28045771423862,-25.48125,-14.606251,-19.63125,3
28045781423862,-24.525002,-13.856251,-21.45,3
28045791423862,-25.800001,-13.89375,-20.831251,3
28045801423862,-26.250002,-14.587501,-20.306252,3
28045811423862,-26.38125,-13.856251,-21.69375,3
28045821423862,-25.612501,-13.500001,-19.95,3
28045831423862,-23.85,-14.38125,-20.90625,3
28045841423862,-25.650002,-14.75625,-20.362501,3
28045851423862,-26.94375,-15.056251,-20.5125,3
28045861423862,-24.6375,-15.243751,-20.175001,3
28045871423862,-24.91875,-12.900001,-18.675001,3
28045881423862,-24.7875,-15.39375,-21.375,3
28045891423862,-22.6875,-13.9875,-21.056252,3
28045901423862,-26.868752,-13.781251,-20.71875,3
28045911423862,-25.931252,-14.793751,-21.4125,3
28045921423862,-23.681252,-14.231251,-20.625,3
28045931423862,-24.618752,-14.231251,-20.8125,3
28045941423862,-25.593752,-15.750001,-22.03125,3
28045951423862,-25.10625,-14.437501,-21.206251,3
28045961423862,-25.743752,-13.63125,-21.46875,3
28045971423862,-26.00625,-14.043751,-19.893751,3
28045981423862,-27.206251,-13.200001,-22.06875,3
28045991423862,-26.98125,-15.431251,-21.112501,3
28046001423862,-24.187502,-13.8,-22.25625,3
28046011423862,-25.968752,-14.043751,-20.962502,3
28046021423862,-24.843752,-13.14375,-22.66875,3
28046031423862,-22.7625,-13.481251,-21.206251,3
28046041423862,-26.643751,-12.88125,-23.23125,3
28046051423862,-26.175001,-12.95625,-23.4375,3
28046061423862,-24.656252,-13.743751,-21.6,3
28046071423862,-24.562502,-11.34375,-22.125,3
28046081423862,-25.25625,-11.94375,-22.5,3
28046091423862,-24.337502,-11.83125,-26.2875,3
28046101423862,-24.243752,-12.69375,-24.13125,3
28046111423862,-24.150002,-11.793751,-22.63125,3
28046121423862,-25.275002,-13.200001,-23.681252,3
28046131423862,-24.69375,-13.368751,-23.2875,3
28046141423862,-25.837502,-13.031251,-24.69375,3
28046151423862,-25.1625,-12.69375,-24.468752,3
28046161423862,-26.325,-12.093751,-23.8875,3
28046171423862,-25.743752,-12.88125,-22.40625,3
28046181423862,-24.487501,-12.093751,-23.34375,3
28046191423862,-24.50625,-15.243751,-24.16875,3
28046201423862,-24.806252,-13.14375,-23.737501,3
28046211423862,-25.800001,-13.14375,-21.7875,3
28046221423862,-24.73125,-12.88125,-24.525002,3
