t_s,phase,gnss_x_m,gnss_y_m,gnss_speed,gnss_bearing_deg,gyro_heading_deg,heading_err_deg,imu_accel_speed,imu_accel_speed_err,last_speed,last_speed_err,ml_speed,ml_speed_err,imu_x_m,imu_y_m,imu_pos_err_m,last_x_m,last_y_m,last_pos_err_m,ml_x_m,ml_y_m,ml_pos_err_m,ml_correction_vs_imu_m
6.0900,CALIB,-0.0538,-0.2431,0.0000,1.1313,314.6986,-46.4328,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0538,-0.2431,0.0000,-0.0538,-0.2431,0.0000,-0.0538,-0.2431,0.0000,0.0000
6.1900,CALIB,-0.0504,-0.2217,0.0000,1.1313,314.6878,-46.4435,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0504,-0.2217,0.0000,-0.0504,-0.2217,0.0000,-0.0504,-0.2217,0.0000,0.0000
6.2900,CALIB,-0.0465,-0.2004,0.0000,1.1313,314.6716,-46.4598,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0465,-0.2004,0.0000,-0.0465,-0.2004,0.0000,-0.0465,-0.2004,0.0000,0.0000
6.3900,CALIB,-0.0420,-0.1794,0.0000,1.1313,314.6634,-46.4679,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0420,-0.1794,0.0000,-0.0420,-0.1794,0.0000,-0.0420,-0.1794,0.0000,0.0000
6.4900,CALIB,-0.0372,-0.1585,0.0000,1.1313,314.6554,-46.4759,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0372,-0.1585,0.0000,-0.0372,-0.1585,0.0000,-0.0372,-0.1585,0.0000,0.0000
6.5900,CALIB,-0.0320,-0.1378,0.0000,1.1313,314.6512,-46.4801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0320,-0.1378,0.0000,-0.0320,-0.1378,0.0000,-0.0320,-0.1378,0.0000,0.0000
6.6900,CALIB,-0.0266,-0.1171,0.0000,1.1313,314.6590,-46.4723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0266,-0.1171,0.0000,-0.0266,-0.1171,0.0000,-0.0266,-0.1171,0.0000,0.0000
6.7900,CALIB,-0.0211,-0.0966,0.0000,1.1313,314.6692,-46.4622,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0211,-0.0966,0.0000,-0.0211,-0.0966,0.0000,-0.0211,-0.0966,0.0000,0.0000
6.8900,CALIB,-0.0156,-0.0760,0.0000,1.1313,314.6851,-46.4462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0156,-0.0760,0.0000,-0.0156,-0.0760,0.0000,-0.0156,-0.0760,0.0000,0.0000
6.9900,CALIB,-0.0103,-0.0554,0.0000,1.1313,314.6949,-46.4365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0103,-0.0554,0.0000,-0.0103,-0.0554,0.0000,-0.0103,-0.0554,0.0000,0.0000
