t_ns,gx,gy,gz
30121895255622,-0.04995164,9.046808,3.784595
30121900013487,-0.045389213,9.049369,3.7785254
30121904771299,-0.042932287,9.05025,3.776441
30121909529164,-0.04337078,9.048441,3.7807689
30121914287028,-0.045491174,9.048955,3.779515
30121919044841,-0.048633773,9.050689,3.7753193
30121923802705,-0.052285444,9.049937,3.7770734
30121928560570,-0.05633565,9.048672,3.7800462
30121933318382,-0.06019935,9.049588,3.7777917
30121938076247,-0.06365344,9.049805,3.777216
30121942834112,-0.06625634,9.047836,3.7818863
30121947591976,-0.06692516,9.0471735,3.7834575
30121952349789,-0.06588932,9.0479,3.7817385
30121957107653,-0.06399472,9.047336,3.7831213
30121961865518,-0.062321395,9.046611,3.7848835
30121966623330,-0.0607969,9.04752,3.7827358
30121971381195,-0.060101397,9.048185,3.7811499
30121976139059,-0.060091183,9.047748,3.7822
30121980896924,-0.060433548,9.048113,3.7813196
30121985654737,-0.06040204,9.049297,3.778487
30121990412601,-0.059842654,9.049688,3.7775598
30121995170466,-0.058162045,9.049408,3.778258
30121999928278,-0.054853737,9.049861,3.7772188
30122004686143,-0.050021116,9.05052,3.7757075
30122009444007,-0.044657994,9.050343,3.7762024
30122014201820,-0.03861089,9.050302,3.776366
30122018959684,-0.032526057,9.05079,3.7752523
30122023717549,-0.02686958,9.050904,3.7750204
30122028475362,-0.02170711,9.050396,3.776273
30122033233226,-0.017653907,9.05015,3.7768855
30122037991091,-0.014620264,9.05007,3.7770884
30122042748955,-0.013032853,9.049549,3.7783432
30122047506768,-0.011956355,9.049078,3.7794755
30122052264632,-0.010693908,9.0490465,3.7795527
30122057022497,-0.008873802,9.0489645,3.7797563
30122061780309,-0.0065411367,9.048605,3.7806199
30122066538174,-0.00358337,9.048465,3.7809596
30122071296039,-2.5813564E-4,9.04862,3.780591
30122076053903,0.002729147,9.048636,3.7805498
30122080811716,0.0053549963,9.048519,3.7808285
30122085569580,0.0074521704,9.0485735,3.780694
30122090327445,0.008743345,9.048585,3.7806635
30122095085205,0.009086209,9.048414,3.7810721
30122099843122,0.008310747,9.048416,3.78107
30122104600987,0.006255503,9.048612,3.7806067
30122109358851,0.0036159558,9.048643,3.7805338
30122114116664,6.2005117E-4,9.048715,3.780362
30122118874528,-0.0024299542,9.048905,3.7799058
30122123632393,-0.0051077683,9.048993,3.7796938
30122128390205,-0.007018651,9.049018,3.7796302
30122133148070,-0.008617549,9.049111,3.779401
30122137905934,-0.009846589,9.049222,3.7791383
30122142663747,-0.010989945,9.049119,3.7793806
30122147421612,-0.0121893985,9.048853,3.780012
30122152179476,-0.013328992,9.048695,3.780388
30122156937289,-0.014329778,9.048536,3.7807622
30122161695153,-0.015372524,9.048216,3.7815263
30122166453018,-0.01663656,9.0479145,3.7822418
30122171210882,-0.018145673,9.047711,3.7827208
30122175968695,-0.019900553,9.047443,3.7833536
30122180726559,-0.02179098,9.047221,3.7838743
30122185484424,-0.023498774,9.047115,3.784116
30122190242237,-0.025085839,9.0469885,3.78441
30122195000101,-0.026152799,9.04695,3.784494
30122199757966,-0.026674025,9.046983,3.7844133
30122204515778,-0.026853165,9.046971,3.7844374
30122209273643,-0.026846124,9.046923,3.7845547
30122214031507,-0.026934305,9.04695,3.784488
30122218789372,-0.027123401,9.047041,3.784272
30122223547184,-0.027846403,9.04709,3.7841496
30122228305049,-0.029360557,9.047188,3.7839046
30122233062914,-0.03143002,9.047356,3.783484
30122237820726,-0.033949494,9.047555,3.782987
30122242578591,-0.036547992,9.047606,3.7828405
30122247336455,-0.03858747,9.047643,3.7827315
30122252094268,-0.040079318,9.047775,3.7824001
30122256852132,-0.040745817,9.047814,3.7822995
30122261609997,-0.04077619,9.047764,3.7824197
30122266367809,-0.04029311,9.047806,3.7823253
30122271125674,-0.03974826,9.047935,3.7820208
30122275883539,-0.03963739,9.047995,3.7818794
30122280641403,-0.040422723,9.047996,3.7818692
30122285399216,-0.042185165,9.048196,3.781371
30122290157080,-0.044678263,9.048397,3.7808592
30122294914945,-0.047640696,9.048429,3.780749
30122299672757,-0.05043249,9.048505,3.780529
30122304430622,-0.052393742,9.048592,3.7802954
30122309188487,-0.0531591,9.048441,3.7806447
30122313946299,-0.052738916,9.048228,3.7811608
30122318704164,-0.05104739,9.048094,3.7815037
30122323462028,-0.048635192,9.047834,3.782157
30122328219893,-0.04597521,9.047537,3.7829018
