run,dir,n_win,n_moving,mae_raw,mae,bias,rmse,nll,cov68,sig_mean,mae_slow,false_stops,stop_latency_s,c10_drift_pct,c10_end_m,c10_after_stop_m,c10_rmse_m,c30_drift_pct,c30_end_m,c30_after_stop_m,c30_rmse_m,c60_drift_pct,c60_end_m,c60_after_stop_m,c60_rmse_m,turn_drift_pct,turn_end_m,turn_after_stop_m,turn_rmse_m,fold,cfg,model,rate,win,split,aug,seed,params,epochs,val_nll
17,BA,904,802,0.14206713438034058,0.1579989343881607,-0.08154024183750153,0.21762505173683167,-1.1697348356246948,0.5024937655860349,0.1290564239025116,0.5489928126335144,0,0.09999999999999432,7.575574879063833,20.91649973252322,21.1670958377948,10.709351988821599,5.3974426076378945,10.661931037674622,10.927634684716105,5.260357801636081,8.513337440085714,5.840186828817838,6.114805379092915,2.287533142142554,6.595868015655855,6.545973348186374,6.820676381606337,2.224938393277351,2,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,27,-1.4493
7,AB,1004,907,0.10270840674638748,0.14629778265953064,-0.01726134493947029,0.23104336857795715,-1.5430107116699219,0.7375964718853363,0.13031922280788422,0.6688393354415894,0,0.10000000000000853,1.6842461817973458,4.792071262742062,4.76333283104115,2.563193106370574,2.770697655654192,5.86809546776584,5.90947288428044,3.270215219454002,4.443190916453898,4.586482588677843,4.80401301754362,1.3561491698451849,2.5235273259020077,5.65374262043769,5.753003694657106,2.302285968088853,3,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,23,-1.4062
9,BA,991,905,0.0990084633231163,0.13238701224327087,-9.555289580021054e-05,0.18722301721572876,-1.5968953371047974,0.6917127071823205,0.12762032449245453,0.6687610149383545,0,0.09999999999999432,1.4147013965199686,4.04528843618901,3.690689321645063,1.3436235492422668,3.188111526860026,7.010944984969108,6.4506091213674335,1.9888483140924604,5.159249414247819,5.52658313463313,5.120095267324796,1.7942925314325913,5.579543487850499,5.670704336660852,5.279392504192838,1.941762721427849,3,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,23,-1.4062
18,AB,843,743,0.16974391043186188,0.2037452757358551,-0.14613351225852966,0.26833900809288025,-0.988113284111023,0.4845222072678331,0.15645426511764526,0.49064409732818604,0,0.3999999999999915,1.1613442771416171,3.149266497960457,2.25781606418599,6.770222814710432,1.7553502008082391,3.0141287039958113,3.9266495036764653,2.869560178663834,16.457701468148024,6.9080061787202025,7.822772360362275,2.579765810432462,1.4033775727521556,3.1133175876386368,3.841630852513688,3.9422920316414505,3,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,23,-1.4062
19,BA,738,647,0.2647566795349121,0.2696631848812103,-0.12667906284332275,0.5051080584526062,-0.3815714120864868,0.49613601236476046,0.2208695262670517,1.1025944948196411,0,0.10000000000000853,4.773984006067907,12.51467970683072,12.080392258580327,6.430249033561894,6.249211190243234,9.16016487683367,8.738234404404748,4.070672433421377,,,,,8.582424763693368,8.35991196531115,7.958538079903233,3.7498117157531405,3,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,23,-1.4062
10,AB,775,673,0.18411028385162354,0.2276133894920349,0.0064964210614562035,0.31533268094062805,-0.9102119207382202,0.7756315007429421,0.27368447184562683,0.9467459321022034,0,0.09999999999999432,3.5622806146490573,9.710093663059329,9.998183762181752,2.3314563526193073,4.695173019606832,8.396833507449177,8.709753458700998,2.3355712774538464,,,,,4.099709578883452,8.952138345743347,9.260970343519451,2.373291744544305,4,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,15,-0.7525
11,BA,696,595,0.3589631915092468,0.3248060643672943,-0.03994201868772507,0.5852504372596741,-0.006123159546405077,0.5563025210084034,0.3222533166408539,1.1010050773620605,0,0.20000000000000284,0.566456496267295,1.5209560508814075,1.1036835771733886,5.891680771764081,5.536859968235992,7.6393918599611865,8.635173362977143,2.3027400592559784,,,,,7.523748624108971,7.286835505986696,8.274605719977707,2.4037721064798827,4,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,15,-0.7525
20,AB,851,751,0.17976568639278412,0.2072097659111023,0.07393386960029602,0.2773190140724182,-1.0698124170303345,0.7403462050599201,0.241978719830513,0.6477735638618469,0,0.6999999999999886,4.782726381414963,13.047055427082809,12.80158615669447,8.994690287348904,6.607298827460273,11.472910531517558,11.345732904779124,6.442272434161455,18.051413806266854,8.921267160787353,9.112935812469635,3.704296778591334,5.870833568235069,13.162139242195243,12.96910592292759,8.264043338989529,4,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,15,-0.7525
21,BA,882,800,0.15252874791622162,0.20188577473163605,0.10087541490793228,0.26188546419143677,-1.1531891822814941,0.7525,0.22635670006275177,0.806437611579895,0,0.9000000000000057,5.878541034575299,16.327380353744847,16.298180980181073,9.288716535919056,7.383376844559326,13.835968463893426,14.396084466160605,6.145788200738818,12.721558299838694,8.092039336088622,8.65256096773377,3.002913601439407,9.24247754513907,9.134223635463949,9.607396386484428,3.8514815244803184,4,cnnfeat_r100_w256,cnnfeat,100,256,gk5,1,0,58818,15,-0.7525
1,AB,1189,1031,0.1339205503463745,0.15101541578769684,0.049131520092487335,0.209784135222435,-1.2706257104873657,0.6110572259941804,0.13631388545036316,0.4244418740272522,0,0.4000000000000057,7.795493799484531,22.88656340339121,22.783788214007004,10.839082271230131,4.026243335824453,9.215138507021276,9.223289106354054,4.815731092761271,8.991047534791306,12.567003468455749,12.464782116274387,6.7609169651900896,3.985820406684267,8.946739215088927,8.953052881954733,4.597126568570587,0,cnn_r100_w256_loro,cnn,100,256,loro,1,0,57602,29,-1.5662
