t_ns,mx,my,mz,bx,by,bz
31152847063047,-25.406252,5.7937503,21.112501,3.36,13.62,8.16
31152857063047,-26.493752,5.64375,20.175001,3.36,13.62,8.16
31152867063047,-26.737501,5.86875,19.125,3.36,13.62,8.16
31152877063047,-24.862501,5.86875,18.900002,3.36,13.62,8.16
31152887063047,-25.968752,5.9812503,20.1,3.36,13.62,8.16
31152897063047,-25.687502,3.24375,21.525002,3.36,13.62,8.16
31152907063047,-24.6,4.89375,20.2875,3.36,13.62,8.16
31152917063047,-27.45,3.7687502,20.8125,3.36,13.62,8.16
31152927063047,-25.462502,5.15625,19.7625,3.36,13.62,8.16
31152937063047,-24.243752,4.9500003,19.462502,3.36,13.62,8.16
31152947063047,-25.968752,5.9812503,19.800001,3.36,13.62,8.16
31152957063047,-26.41875,6.1687503,20.60625,3.36,13.62,8.16
31152967063047,-26.718752,6.5062504,21.712502,3.36,13.62,8.16
31152977063047,-26.19375,6.6937504,21.0375,3.36,13.62,8.16
31152987063047,-27.431252,6.4125004,19.181252,3.36,13.62,8.16
31152997063047,-26.737501,5.11875,20.0625,3.36,13.62,8.16
31153007063047,-26.812502,5.6062503,20.212502,3.36,13.62,8.16
31153017063047,-25.1625,5.9625,19.237501,3.36,13.62,8.16
31153027063047,-26.79375,6.61875,19.725,3.36,13.62,8.16
31153037063047,-26.5125,6.39375,19.6875,3.36,13.62,8.16
31153047063047,-24.843752,5.11875,19.5375,3.36,13.62,8.16
31153057063047,-25.931252,5.9812503,18.712502,3.36,13.62,8.16
31153067063047,-25.931252,5.2312503,19.96875,3.36,13.62,8.16
31153077063047,-25.087502,4.70625,20.04375,3.36,13.62,8.16
31153087063047,-25.275002,7.0687504,18.768751,3.36,13.62,8.16
31153097063047,-25.931252,5.2312503,19.66875,3.36,13.62,8.16
31153107063047,-25.087502,6.6000004,19.81875,3.36,13.62,8.16
31153117063047,-25.9125,5.2312503,19.35,3.36,13.62,8.16
31153127063047,-26.362501,6.1687503,19.06875,3.36,13.62,8.16
31153137063047,-25.743752,6.1312504,18.54375,3.36,13.62,8.16
31153147063047,-24.69375,6.01875,19.5,3.36,13.62,8.16
31153157063047,-26.1375,5.08125,20.925001,3.36,13.62,8.16
31153167063047,-24.675001,5.64375,21.487501,3.36,13.62,8.16
31153177063047,-26.75625,5.86875,19.893751,3.36,13.62,8.16
31153187063047,-27.35625,4.6687503,22.462502,3.36,13.62,8.16
31153197063047,-26.925001,5.34375,22.06875,3.36,13.62,8.16
31153207063047,-25.85625,5.86875,21.018751,3.36,13.62,8.16
31153217063047,-26.400002,5.55,21.54375,3.36,13.62,8.16
31153227063047,-24.73125,6.2625003,21.9375,3.36,13.62,8.16
31153237063047,-27.768751,6.3562503,20.00625,3.36,13.62,8.16
31153247063047,-25.781252,5.49375,21.6375,3.36,13.62,8.16
31153257063047,-25.612501,5.26875,19.612501,3.36,13.62,8.16
31153267063047,-24.91875,5.86875,20.4375,3.36,13.62,8.16
31153277063047,-24.900002,5.6062503,18.91875,3.36,13.62,8.16
31153287063047,-25.95,5.71875,18.4125,3.36,13.62,8.16
31153297063047,-24.150002,6.4687505,19.575,3.36,13.62,8.16
31153307063047,-26.00625,5.9625,21.1875,3.36,13.62,8.16
31153317063047,-26.00625,5.9625,21.1875,3.36,13.62,8.16
31153327063047,-25.63125,6.2812505,20.5125,3.36,13.62,8.16
31153337063047,-24.750002,5.7562504,19.5,3.36,13.62,8.16
31153347063047,-26.493752,5.4,19.10625,3.36,13.62,8.16
