t_ns,ax,ay,az
18940055654200,1.6303086,-0.418128,0.569664
18940060412846,0.6792253,-1.3619032,1.4652953
18940065171440,0.036840796,-0.24304485,-0.25490856
18940069930085,1.4920557,0.09235859,0.7012582
18940074688731,-0.53278553,0.49642467,-0.16436243
18940079447377,-0.13162911,-0.34503365,1.1753726
18940084206023,-0.12981367,-0.5392933,0.63877726
18940088964669,-0.85977435,0.461977,-0.056153297
18940093723263,0.07526553,-1.2960176,-0.50624704
18940098481908,-1.280117,0.098278046,-1.5281367
18940103240554,0.87573856,-0.6589813,0.7467189
18940107999200,-0.24917829,-1.9369984,-0.4786167
18940112757794,-0.20992053,0.06666851,0.42722225
18940117516388,2.2956715,-0.39788342,1.8726254
18940122275085,0.08438969,-1.0089831,-1.338098
18940127033731,0.8958889,-2.1878533,0.053468227
18940131792377,0.3770913,-3.8771381,-1.0172188
18940136550971,-1.0675199,-2.269423,-2.6774414
18940141309617,0.5543872,-1.6174836,1.4178061
18940146068263,-1.7974135,-1.3330126,1.3251915
18940150826908,-0.5251839,-1.1954927,1.618638
18940155585554,0.16257405,-0.8554115,0.6978526
18940160344148,-1.5127699,0.8510256,0.31007147
18940165102794,-0.66134465,0.34166145,4.136453
18940169861440,-2.2897494,1.3857536,3.087934
18940174620085,-0.5412986,1.5778313,1.5583053
18940179378731,-0.6200228,1.5076723,1.3295708
18940184137377,-1.2124488,1.2123585,1.5241208
18940188895971,0.61037505,-0.58681726,0.17368507
18940193654617,0.08339512,0.6138058,-2.9613228
18940198413263,0.22273159,-0.20148182,-1.0322821
18940203171908,-1.9548583,-1.4741774,0.02543211
18940207930502,-2.301252,-0.71576023,0.35174942
18940212689148,-0.34949386,-0.93450737,-0.8569889
18940217447794,-2.2049246,-1.1727495,-2.2145708
18940222206440,-2.554141,0.31949806,1.6067114
18940226965085,-1.0429243,0.30714417,1.2092686
18940231723731,-0.93445516,0.34618282,-2.1376214
18940236482325,1.3411274,0.5699825,0.10379124
18940241240971,0.08833718,0.8964453,1.1244164
18940245999617,0.11222291,1.5525484,0.32754326
18940250758263,2.0752249,1.5516272,-0.4633236
18940255516908,1.0918578,1.6142893,-1.0163636
18940260275450,1.0362691,0.580348,1.5058584
18940265034148,-0.18915355,0.6095028,0.98063374
18940269792794,-0.26416135,1.4200983,-0.725193
18940274551440,-0.3515749,0.8837557,-0.2986393
18940279310085,-2.2431865,0.4944477,-0.2428379
18940284068679,-1.5201449,-0.09646988,0.41461992
18940288827325,-1.8744497,0.8592472,-0.72987604
18940293585971,-0.95379543,1.3539238,-1.4326291
18940298344617,-0.85680115,-0.04087639,-0.34268713
18940303103263,-0.56904733,0.2860155,0.6763339
18940307861908,1.5141362,-0.91828775,1.017839
18940312620502,0.055890083,-0.1276226,-1.2129831
18940317379148,0.7078414,0.15846157,0.6639161
18940322137794,-0.1687355,0.06953907,1.175487
18940326896440,-0.8029808,1.0442543,0.676281
18940331655085,-0.10476041,-0.54584265,1.7093415
18940336413679,-1.8545095,-0.6141958,-0.3359022
18940341172325,-0.46056354,-0.1654501,0.42495775
18940345930971,-0.9482986,-0.5232363,0.023313522
18940350689617,-1.8888875,0.06355381,-0.57816124
18940355448263,0.047759533,-1.4139504,1.8282728
18940360206908,-1.293498,-0.5976224,0.19104195
18940364965502,0.15800452,0.5900507,0.7404194
18940369724148,-0.06834209,-0.27628994,0.072570324
18940374482794,-1.3495649,0.27022934,0.2838025
18940379241440,-0.21643543,-0.9682479,2.9545221
18940384000085,-1.6202785,-0.71881676,-0.37811708
18940388758679,-0.2963711,0.048698425,-1.1167216
18940393517325,0.050359726,-1.0035934,-0.30683708
18940398275971,-1.7759311,-1.2951503,-1.0137563
18940403034617,0.23558736,-1.4188843,-0.13687754
18940407793263,-0.23217666,-2.5253267,-2.1218228
18940412551908,-1.8367033,-0.94835854,-1.43291
18940417310502,-0.119182944,-0.8684759,0.49079323
18940422069148,-1.6353688,-0.37690258,-1.9599373
18940426827794,-0.76802886,0.6555128,0.29114866
18940431586440,-0.20985758,-0.4130335,0.074602604
18940436345085,-1.4078043,0.17763901,-2.0926034
18940441103731,0.6729754,1.1084652,0.39052963
18940445862325,0.72311425,1.5640755,-1.0553999
18940450620971,0.73459744,0.4366083,-2.17983
18940455379617,1.2896795,2.0167313,-0.6872535
18940460138263,1.1620694,1.3073521,0.87196016
18940464896908,1.1302876,-0.5688009,-2.1845324
18940469655502,1.2073503,1.7204428,-3.9470487
18940474414148,1.2665321,1.5921288,-1.7768581
18940479172794,-0.70775115,-0.72044086,-2.038753
18940483931440,-1.1479446,1.3603725,-0.6124387
18940488690085,1.1032524,1.0910139,-1.2560852
18940493448731,-0.21623206,-0.7385931,-5.641541
18940498207325,0.7109933,-0.30222797,-1.8356767
18940502965971,1.6940376,-2.5299482,-0.13666725
18940507724617,-0.035640597,-1.7633324,-2.907482
18940512483210,2.8705285,-1.1829576,0.33899355
18940517241908,1.1994425,0.5024271,-0.18630266
18940522000554,0.9984003,2.210228,1.0318146
18940526759148,1.428413,1.2087889,2.1264014
18940531517794,-0.34306717,1.7610769,0.72036076
