t_ns,gx,gy,gz,bx,by,bz
18915638465004,-0.050090913,-0.3921752,0.086742796,-0.011551892,6.854045E-4,0.006857684
18915640844223,-0.015882485,-0.36102107,0.100181825,-0.011551892,6.854045E-4,0.006857684
18915643223442,-0.016493348,-0.18203771,0.14782928,-0.011551892,6.854045E-4,0.006857684
18915645602609,-0.018325943,-0.06169734,0.1631009,-0.011551892,6.854045E-4,0.006857684
18915647981827,0.023823727,-0.04886918,0.16920954,-0.011551892,6.854045E-4,0.006857684
18915650361046,0.02687805,-0.07147118,0.060475614,-0.011551892,6.854045E-4,0.006857684
18915652740213,0.0048869182,-0.1301142,-0.008552107,-0.011551892,6.854045E-4,0.006857684
18915655119379,0.013439025,-0.018936807,0.028099779,-0.011551892,6.854045E-4,0.006857684
18915657498598,6.108648E-4,0.058032155,0.074525505,-0.011551892,6.854045E-4,0.006857684
18915659877817,0.06108648,0.20158538,0.12339468,-0.011551892,6.854045E-4,0.006857684
18915662256984,0.12767074,0.2858847,0.05864302,-0.011551892,6.854045E-4,0.006857684
18915664636202,0.18692462,0.24129158,-0.06352994,-0.011551892,6.854045E-4,0.006857684
18915667015421,0.2547306,0.23823726,-0.04459313,-0.011551892,6.854045E-4,0.006857684
18915669394588,0.18448116,0.2272417,0.03054324,-0.011551892,6.854045E-4,0.006857684
18915671773754,0.091629714,0.4166098,0.08796453,-0.011551892,6.854045E-4,0.006857684
18915674152973,0.037262753,0.43615746,0.05131264,-0.011551892,6.854045E-4,0.006857684
18915676532192,0.08429934,0.30054548,-0.06658426,-0.011551892,6.854045E-4,0.006857684
18915678911359,0.19914192,0.194255,-0.07941242,-0.011551892,6.854045E-4,0.006857684
18915681290577,0.19364414,0.14172062,-0.036651887,-0.011551892,6.854045E-4,0.006857684
18915683669796,0.1178969,0.2480111,0.07208204,-0.011551892,6.854045E-4,0.006857684
18915686048963,0.045203995,0.29199335,0.16371176,-0.011551892,6.854045E-4,0.006857684
18915688428181,-0.0048869182,0.12339468,0.14416409,-0.011551892,6.854045E-4,0.006857684
18915690807400,0.017104214,0.04886918,0.086742796,-0.011551892,6.854045E-4,0.006857684
18915693186567,-0.011606431,-0.11911863,0.05070178,-0.011551892,6.854045E-4,0.006857684
18915695565734,-0.039095346,-0.06658426,0.06169734,-0.011551892,6.854045E-4,0.006857684
18915697944952,-0.053145237,-0.06108648,0.11117739,-0.011551892,6.854045E-4,0.006857684
18915700324171,0.0036651888,-0.074525505,0.19914192,-0.011551892,6.854045E-4,0.006857684
18915702703338,0.07880156,-0.077579826,0.28405213,-0.011551892,6.854045E-4,0.006857684
18915705082556,0.05253437,-0.14599667,0.27122396,-0.011551892,6.854045E-4,0.006857684
18915707461775,-0.010995566,-0.10506874,0.15699224,-0.011551892,6.854045E-4,0.006857684
18915709840942,-0.054366965,-0.15027274,0.06108648,-0.011551892,6.854045E-4,0.006857684
18915712220109,-0.014660755,-0.12705988,0.100181825,-0.011551892,6.854045E-4,0.006857684
18915714599327,-0.02443459,-0.09529491,0.15393792,-0.011551892,6.854045E-4,0.006857684
18915716978546,-0.062308207,0.028710645,0.12095123,-0.011551892,6.854045E-4,0.006857684
18915719357713,-0.02443459,0.15515965,0.080634154,-0.011551892,6.854045E-4,0.006857684
18915721736931,0.02932151,0.067195125,0.04214967,-0.011551892,6.854045E-4,0.006857684
18915724116150,0.08857539,0.126449,0.07208204,-0.011551892,6.854045E-4,0.006857684
18915726495317,0.0012217296,0.14538582,0.05497783,-0.011551892,6.854045E-4,0.006857684
18915728874484,-0.09651663,0.2131918,0.010384701,-0.011551892,6.854045E-4,0.006857684
18915731253702,-0.14782928,0.15332706,-0.082466744,-0.011551892,6.854045E-4,0.006857684
18915733632921,-0.13133593,0.015882485,-0.10873393,-0.011551892,6.854045E-4,0.006857684
18915736012088,-0.07391464,0.11117739,-0.020158539,-0.011551892,6.854045E-4,0.006857684
18915738391306,-0.102014415,0.16859868,0.031154104,-0.011551892,6.854045E-4,0.006857684
18915740770525,-0.12522727,0.22785257,0.010384701,-0.011551892,6.854045E-4,0.006857684
18915743149692,-0.13439025,0.09407318,-0.02932151,-0.011551892,6.854045E-4,0.006857684
18915745528911,-0.0971275,0.03176497,0.008552107,-0.011551892,6.854045E-4,0.006857684
18915747908129,-0.126449,0.06169734,0.034208428,-0.011551892,6.854045E-4,0.006857684
18915750287296,-0.18936808,0.041538805,0.026267186,-0.011551892,6.854045E-4,0.006857684
18915752666463,-0.19975278,-0.0012217296,0.0018325944,-0.011551892,6.854045E-4,0.006857684
18915755045681,-0.16859868,-0.12583815,0.023212861,-0.011551892,6.854045E-4,0.006857684
18915757424900,-0.1404989,-0.17409647,0.10873393,-0.011551892,6.854045E-4,0.006857684
18915759804067,-0.15393792,-0.080634154,0.14172062,-0.011551892,6.854045E-4,0.006857684
18915762183286,-0.15699224,-0.10262528,0.13988803,-0.011551892,6.854045E-4,0.006857684
