t_ns,gx,gy,gz
20924505493566,0.60404444,8.851276,4.1785665
20924510251483,0.6014189,8.851082,4.179359
20924515009400,0.5997275,8.850954,4.179872
20924519767316,0.5988153,8.8510275,4.179844
20924524525285,0.5979161,8.851281,4.1794395
20924529283202,0.59607875,8.851633,4.178956
20924534041118,0.5926479,8.851676,4.1793523
20924538799035,0.58751446,8.851819,4.1797733
20924543556952,0.5819486,8.851885,4.180412
20924548314921,0.57696813,8.851747,4.1813965
20924553072837,0.57397294,8.851553,4.1822186
20924557830754,0.5731992,8.8513565,4.18274
20924562588671,0.5741812,8.851165,4.183013
20924567346587,0.57593566,8.851022,4.1830716
20924572104556,0.57669157,8.850826,4.183383
20924576862473,0.575414,8.850738,4.183746
20924581620389,0.57224256,8.850825,4.1839952
20924586378306,0.56781626,8.850861,4.1845245
20924591136223,0.5634825,8.85088,4.185071
20924595894191,0.55999625,8.8510275,4.1852255
20924600652108,0.5589387,8.851169,4.1850677
20924605410025,0.5603021,8.851176,4.1848693
20924610167941,0.5638584,8.851062,4.184633
20924614925910,0.5686574,8.851055,4.1839976
20924619683827,0.57321507,8.850948,4.1836042
20924624441743,0.5764186,8.850975,4.183105
20924629199660,0.5771333,8.851176,4.1825805
20924633957577,0.5760292,8.85164,4.181754
20924638715493,0.57375497,8.852155,4.1809726
20924643473462,0.5718803,8.852589,4.180311
20924648231379,0.57157505,8.853174,4.179115
20924652989296,0.57363236,8.853604,4.17792
20924657747264,0.57812667,8.853744,4.177008
20924662505181,0.5843343,8.85374,4.176151
20924667263098,0.5911121,8.853887,4.1748853
20924672021014,0.59755915,8.854264,4.173165
20924676778931,0.60246974,8.854572,4.1718082
20924681536900,0.6048765,8.854917,4.1707273
20924686294816,0.6046073,8.855481,4.169567
20924691052733,0.6023325,8.856333,4.168088
20924695810650,0.5985833,8.856998,4.1672115
20924700568566,0.5945495,8.857527,4.1666656
20924705326535,0.59128636,8.858385,4.165306
20924710084452,0.5896508,8.859272,4.1636534
20924714842368,0.58933955,8.859967,4.1622176
20924719600285,0.5896683,8.860706,4.1605954
20924724358254,0.58994806,8.861608,4.1586356
20924729116171,0.5896113,8.862518,4.1567426
20924733874087,0.5882024,8.863268,4.155346
20924738632004,0.5859343,8.864042,4.1540127
20924743389921,0.5834173,8.864931,4.152472
20924748147889,0.58130246,8.865751,4.1510177
20924752905806,0.57992953,8.866572,4.1494527
20924757663723,0.5794149,8.86754,4.1474576
20924762421587,0.5799253,8.86856,4.1452055
20924767179556,0.581192,8.869514,4.1429834
20924771937473,0.5828553,8.870328,4.1410084
20924776695441,0.5844992,8.870894,4.139561
20924781453358,0.5857209,8.871532,4.138023
20924786211223,0.5864556,8.872225,4.1364317
20924790969243,0.58662707,8.872815,4.1351433
20924795727160,0.58613867,8.87331,4.13415
20924800485077,0.58533853,8.87354,4.1337705
20924805242993,0.58469456,8.873523,4.1338987
20924810000910,0.58476204,8.873723,4.13346
20924814758827,0.5852436,8.87402,4.132754
20924819516796,0.5858096,8.874439,4.1317725
20924824274712,0.585142,8.874709,4.131286
20924829032629,0.5836716,8.875038,4.13079
20924833790546,0.58181405,8.875304,4.1304765
20924838548514,0.5807779,8.874989,4.1313004
20924843306431,0.5808755,8.874956,4.131357
20924848064348,0.5825325,8.8748865,4.131275
20924852822264,0.58497757,8.874855,4.130998
20924857580233,0.5879523,8.87444,4.131463
20924862338150,0.5904646,8.874255,4.131503
20924867096066,0.5920224,8.874155,4.131499
20924871853983,0.59224457,8.87392,4.13197
20924876611900,0.5913887,8.87349,4.133014
20924881369816,0.59058124,8.873167,4.133825
20924886127785,0.59073627,8.872891,4.134395
20924890885702,0.59318405,8.872443,4.1350064
20924895643566,0.59770626,8.871811,4.1357102
20924900401535,0.6037957,8.871175,4.13619
20924905159504,0.6101785,8.870228,4.137285
20924909917421,0.6160593,8.869158,4.1387076
20924914675337,0.6214932,8.868031,4.1403117
20924919433254,0.6263712,8.86693,4.141932
20924924191223,0.62994426,8.865701,4.1440206
20924928949139,0.6321713,8.864541,4.1461635
20924933707056,0.6324813,8.863779,4.1477447
20924938464973,0.6318358,8.862927,4.1496634
20924943222941,0.6306544,8.861786,4.1522775
20924947980858,0.63005364,8.860673,4.1547437
20924952738775,0.630366,8.859584,4.1570163
20924957496691,0.63231665,8.8581915,4.1596913
20924962254608,0.63538176,8.856695,4.162407
20924967012577,0.63852644,8.855288,4.16492
20924971770441,0.6406476,8.854028,4.167269
20924976528410,0.6408037,8.852913,4.169614
20924981286327,0.63901407,8.851975,4.171878
20924986044243,0.6354653,8.851177,4.174116
20924990802212,0.63156396,8.850367,4.176427
20924995560077,0.62841237,8.849367,4.179019
20925000318046,0.6272727,8.848259,4.1815333
20925005075962,0.62789655,8.847156,4.183775
20925009833931,0.6304552,8.845915,4.1860123
20925014591848,0.6338272,8.844526,4.1884375
20925019349764,0.6371423,8.843748,4.189577
20925024107681,0.6384178,8.844142,4.1885543
20925028865546,0.6373368,8.844472,4.18802
20925033623566,0.63333625,8.845445,4.186571
20925038381483,0.6284413,8.847224,4.183546
20925043139400,0.6245147,8.847789,4.1829414
20925047897316,0.6256117,8.847164,4.184099
20925052655285,0.6312826,8.847579,4.1823707
20925057413202,0.63765717,8.847927,4.180667
20925062171118,0.6416519,8.847302,4.1813784
20925066929035,0.6442075,8.847207,4.1811852
20925071686952,0.6461213,8.847464,4.1803484
20925076444921,0.64556503,8.846348,4.1827936
20925081202837,0.64212763,8.845942,4.1841826
20925085960754,0.63760376,8.84721,4.182191
20925090718671,0.63616884,8.847715,4.1813397
20925095476639,0.63969135,8.84767,4.1808996
20925100234504,0.6470634,8.848768,4.177441
20925104992473,0.6542011,8.849443,4.1748943
20925109750389,0.6588123,8.848594,4.1759725
20925114508306,0.659568,8.848258,4.1765623
20925119266275,0.6560341,8.848928,4.1757016
20925124024191,0.64899445,8.849236,4.1761484
20925128782108,0.6410341,8.849881,4.176009
20925133540025,0.6351889,8.851144,4.174228
20925138297993,0.63273144,8.85229,4.172169
20925143055910,0.63393825,8.852871,4.170751
20925147813827,0.6375774,8.853439,4.1689906
20925152571743,0.6430354,8.853589,4.1678348
20925157329660,0.64911807,8.852832,4.1685
20925162087629,0.65304995,8.852038,4.1695724
20925166845546,0.6533767,8.852085,4.1694193
20925171603462,0.64969623,8.853139,4.1677575
20925176361379,0.64338523,8.854191,4.1665034
20925181119348,0.63680583,8.855202,4.165366
20925185877264,0.63144404,8.856453,4.1635222
20925190635181,0.6295447,8.857412,4.1617684
20925195393098,0.6314817,8.857627,4.161018
20925200151066,0.6358021,8.85787,4.1598406
20925204908983,0.63946974,8.858549,4.1578317
20925209666900,0.64016944,8.859459,4.155786
20925214424816,0.6372286,8.860645,4.153707
20925219182733,0.63127244,8.862462,4.1507406
20925223940702,0.6242805,8.86437,4.147723
20925228698618,0.61824983,8.865853,4.1454563
20925233456535,0.61431783,8.866831,4.14395
20925238214452,0.61262673,8.867563,4.14263
20925242972368,0.61269546,8.868071,4.1415343
20925247730337,0.6132762,8.868628,4.1402564
20925252488254,0.6133713,8.8696,4.138159
20925257246171,0.6125639,8.870839,4.1356187
20925262004087,0.61069304,8.872215,4.132946
20925266762056,0.6081527,8.873461,4.130645
20925271519973,0.6056469,8.874357,4.1290874
20925276277889,0.604817,8.874896,4.1280503
20925281035806,0.60536677,8.874851,4.128066
20925285793723,0.6087254,8.87418,4.129014
20925290551691,0.61080015,8.874332,4.128383
20925295309608,0.61737955,8.872432,4.131486
20925300067525,0.61887294,8.874841,4.1260858
20925304825493,0.626645,8.875376,4.123762
20925309583410,0.6278627,8.875591,4.1231127
20925314341327,0.6302829,8.876565,4.1206465
20925319099243,0.6312512,8.877895,4.1176276
20925323857160,0.62979287,8.879014,4.1154423
20925328615129,0.6325942,8.878324,4.1165004
20925333373046,0.6359057,8.879493,4.113469
20925338130962,0.64554137,8.88246,4.105554
20925342888879,0.6579429,8.883035,4.1023393
20925347646796,0.67331934,8.882199,4.1016517
20925352404764,0.68925107,8.882428,4.098511
20925357162681,0.70329195,8.882773,4.095377
20925361920598,0.7109682,8.881734,4.096305
20925366678514,0.71098703,8.881891,4.09596
20925371436483,0.70337945,8.883543,4.0936904
20925376194400,0.69231206,8.886281,4.0896335
20925380952316,0.6811794,8.887912,4.087957
20925385710233,0.6710692,8.888434,4.0884943
20925390468150,0.66484576,8.888475,4.089423
20925395226118,0.66163266,8.889155,4.088464
20925399984035,0.66175294,8.888552,4.0897593
20925404741952,0.66229284,8.88735,4.0922823
20925409499868,0.66284007,8.886861,4.0932527
20925414257837,0.6618015,8.887083,4.0929394
20925419015754,0.65846235,8.886678,4.0943604
20925423773671,0.6547684,8.886264,4.095848
20925428531587,0.65120095,8.886731,4.095406
20925433289556,0.64923984,8.887024,4.095078
20925438047473,0.64817476,8.886885,4.0955515
20925442805389,0.6496658,8.887209,4.09461
20925447563306,0.6540103,8.888215,4.091737
20925452321223,0.6612635,8.890102,4.0864673
20925457079191,0.67086536,8.891406,4.0820637
20925461837108,0.6720255,8.891994,4.0805883
20925466595025,0.67069936,8.892712,4.079244
20925471352941,0.66704315,8.893453,4.0782275
20925476110910,0.66255546,8.8941555,4.077426
20925480868827,0.6586772,8.894609,4.0770664
20925485626743,0.6562139,8.894834,4.076972
20925490384660,0.6546135,8.895064,4.076726
20925495142629,0.65397084,8.895237,4.0764546
20925499900546,0.65403396,8.895106,4.076728
20925504658462,0.65472245,8.89491,4.0770464
20925509416379,0.65632737,8.89464,4.0773764
20925514174296,0.6588406,8.894065,4.0782256
20925518932264,0.66155124,8.8933325,4.079385
20925523690181,0.6641803,8.892835,4.0800424
20925528448098,0.6660926,8.892598,4.0802464
20925533206014,0.6675123,8.89207,4.081164
20925537963983,0.66865414,8.891329,4.0825934
20925542721900,0.6699595,8.890846,4.083427
20925547479816,0.6721185,8.890343,4.084171
20925552237733,0.67462814,8.889225,4.0861893
20925556995650,0.67737436,8.887976,4.0884523
20925561753618,0.6794804,8.887239,4.0897026
20925566511535,0.6804377,8.886607,4.0909176
20925571269452,0.68079555,8.885711,4.092805
20925576027368,0.68074775,8.884912,4.094548
20925580785337,0.6813917,8.884312,4.095741
20925585543254,0.68286127,8.883482,4.0972967
20925590301171,0.683988,8.882216,4.099849
20925595059087,0.68469775,8.880914,4.102554
20925599817056,0.6847238,8.879756,4.1050544
20925604574973,0.684532,8.87853,4.107739
20925609332889,0.68413275,8.87721,4.110656
20925614090806,0.684227,8.876068,4.1131067
20925618848723,0.6842953,8.875074,4.1152387
20925623606691,0.68428487,8.873789,4.1180077
20925628364608,0.68394494,8.872305,4.121264
20925633122525,0.6827691,8.871364,4.1234837
20925637880441,0.6805882,8.870918,4.1248035
20925642638410,0.6778528,8.870645,4.125842
20925647396327,0.67495126,8.870634,4.1263413
20925652154243,0.6726723,8.870938,4.126058
20925656912160,0.6718926,8.871374,4.125247
20925661670129,0.6723818,8.871603,4.1246753
20925666428046,0.6738084,8.871625,4.1243954
20925671185962,0.67563814,8.871856,4.123601
20925675943879,0.67769164,8.872264,4.1223845
20925680701796,0.67931634,8.872571,4.1214557
20925685459764,0.679423,8.872978,4.120563
20925690217681,0.6776277,8.873637,4.119438
20925694975598,0.674566,8.87439,4.11832
20925699733462,0.67133915,8.874882,4.1177855
20925704491483,0.66907364,8.875072,4.117745
20925709249400,0.6680149,8.875076,4.1179075
20925714007316,0.66793907,8.87483,4.118451
20925718765233,0.6677491,8.874394,4.119422
20925723523150,0.66704726,8.874039,4.120298
20925728281118,0.6661433,8.873903,4.1207366
20925733039035,0.6651338,8.873905,4.1208954
20925737796952,0.66428775,8.873809,4.1212406
20925742554868,0.66326016,8.873702,4.121637
20925747312837,0.6619966,8.87361,4.1220393
20925752070754,0.6603956,8.873419,4.1227074
20925756828618,0.658585,8.873199,4.1234674
20925761586587,0.6568237,8.873109,4.123944
20925766344556,0.6550326,8.873175,4.124086
20925771102473,0.6534495,8.873284,4.1241035
20925775860337,0.6523852,8.873422,4.123973
20925780618306,0.6523765,8.873609,4.123574
20925785376223,0.65340054,8.87378,4.123043
20925790134191,0.6550037,8.873853,4.1226315
20925794892108,0.6561493,8.873962,4.1222124
20925799650025,0.6558042,8.874126,4.1219134
20925804407993,0.6537173,8.874262,4.1219554
20925809165910,0.6503169,8.87428,4.122454
20925813923827,0.64676344,8.874256,4.123065
20925818681743,0.6439452,8.874152,4.1237273
20925823439660,0.6424232,8.873921,4.124463
20925828197629,0.6422284,8.873621,4.125141
20925832955546,0.6434865,8.873326,4.1255803
20925837713462,0.64585847,8.872977,4.125957
20925842471379,0.6488565,8.872617,4.1262627
