t_ns,gx,gy,gz
19032175627563,-0.27387783,8.940661,4.019947
19032180385948,-0.27132633,8.940515,4.020445
19032185144386,-0.26932278,8.94024,4.02119
19032189902771,-0.2674062,8.9407215,4.0202456
19032194661157,-0.26529336,8.940941,4.019898
19032199419542,-0.26254606,8.94047,4.0211267
19032204177927,-0.2591398,8.940514,4.0212507
19032208936313,-0.25524,8.941208,4.0199547
19032213694698,-0.2511568,8.941404,4.0197744
19032218453136,-0.24703552,8.941385,4.020073
19032223211521,-0.2433151,8.941862,4.0192404
19032227969907,-0.24044096,8.942298,4.018443
19032232728292,-0.2378047,8.942274,4.0186524
19032237486677,-0.23540504,8.942581,4.01811
19032242245063,-0.23243722,8.943493,4.016254
19032247003448,-0.2287094,8.944143,4.0150204
19032251761886,-0.22364762,8.944568,4.014358
19032256520271,-0.2172655,8.945507,4.012615
19032261278657,-0.20983754,8.946552,4.010679
19032266037042,-0.2016973,8.947456,4.0090804
19032270795427,-0.19340658,8.948487,4.0071898
19032275553813,-0.18553305,8.949112,4.0061665
19032280312198,-0.17841025,8.949363,4.005928
19032285070636,-0.17239758,8.949841,4.005122
19032289829021,-0.16732189,8.95054,4.00378
19032294587407,-0.16346537,8.951171,4.002525
19032299345792,-0.16044123,8.951438,4.00205
19032304104177,-0.15866192,8.951277,4.002481
19032308862563,-0.1566231,8.951205,4.002723
19032313620948,-0.154991,8.951307,4.002557
19032318379334,-0.15264404,8.951242,4.002791
19032323137771,-0.15006883,8.950813,4.003848
19032327896157,-0.14646836,8.950076,4.0056295
19032332654542,-0.14134356,8.949586,4.0069084
19032337412927,-0.13557492,8.949341,4.0076556
19032342171313,-0.1299357,8.948859,4.008919
19032346929698,-0.12642016,8.949053,4.0086
19032351688136,-0.12542918,8.948286,4.0103397
19032356446521,-0.12581223,8.946163,4.0150614
19032361204907,-0.12590036,8.944449,4.018875
19032365963292,-0.12421297,8.943864,4.0202327
19032370721677,-0.12190914,8.944241,4.019464
19032375480063,-0.12135043,8.945533,4.0166035
19032380238448,-0.12336492,8.947866,4.011342
19032384996834,-0.12742938,8.950374,4.0056148
19032389755271,-0.13167444,8.952324,4.001118
19032394513657,-0.13448474,8.95401,3.997249
19032399272042,-0.13417052,8.955415,3.9941132
19032404030427,-0.13188145,8.955174,3.9947248
19032408788813,-0.12919573,8.952403,4.001022
19032413547198,-0.12705404,8.949367,4.007876
19032418305636,-0.12562878,8.949633,4.007327
19032423064021,-0.12530328,8.95093,4.004441
19032427822407,-0.1242847,8.949225,4.0082803
19032432580792,-0.12233118,8.947704,4.0117326
19032437339177,-0.1182225,8.947672,4.0119314
19032442097563,-0.11227654,8.946573,4.0145473
19032446855948,-0.104323536,8.94423,4.019982
19032451614334,-0.09393219,8.943521,4.021817
19032456372771,-0.08072015,8.944227,4.020531
19032461131157,-0.06540299,8.943701,4.0219793
19032465889542,-0.050292436,8.942808,4.0241814
19032470647927,-0.03791949,8.943614,4.0225267
19032475406313,-0.030848756,8.944295,4.021073
19032480164698,-0.029754614,8.9435425,4.022755
19032484923084,-0.03338225,8.943614,4.022567
19032489681521,-0.038564235,8.945893,4.0174484
19032494439907,-0.043440383,8.947951,4.012811
19032499198292,-0.046789706,8.948604,4.0113187
19032503956677,-0.047809754,8.949669,4.008932
19032508715063,-0.047553476,8.951026,4.005904
19032513473448,-0.046919223,8.951077,4.005797
19032518231834,-0.046186626,8.950837,4.00634
19032522990219,-0.045251966,8.951887,4.004006
19032527748657,-0.044944894,8.952968,4.0015926
19032532507042,-0.047082074,8.953131,4.0012007
19032537265427,-0.05294989,8.953221,4.000926
19032542023813,-0.062310573,8.954131,3.998755
19032546782198,-0.07384337,8.9542465,3.9982996
19032551540584,-0.08573852,8.953108,4.0006137
19032556298969,-0.09625638,8.951821,4.0032496
19032561057354,-0.104112424,8.951247,4.0043383
19032565815792,-0.10925514,8.950119,4.0067225
19032570574177,-0.111650914,8.947645,4.012178
19032575332563,-0.11154207,8.944911,4.018274
19032580090948,-0.11046446,8.942312,4.024081
19032584849334,-0.110577,8.938469,4.0326076
19032589607719,-0.1122494,8.933671,4.0431814
19032594366104,-0.11592655,8.929875,4.0514536
19032599124542,-0.11784398,8.927079,4.0575533
19032603882927,-0.116163135,8.926111,4.0597343
19032608641313,-0.1105886,8.927433,4.0569797
19032613399698,-0.10304777,8.929387,4.052877
19032618158084,-0.09671145,8.930357,4.0508957
19032622916469,-0.09131248,8.93118,4.049207
19032627674854,-0.08612985,8.932588,4.0462155
19032632433188,-0.080272466,8.933929,4.043372
19032637191677,-0.07429418,8.934897,4.0413437
19032641950063,-0.069186956,8.935941,4.0391283
19032646708448,-0.06578672,8.936757,4.03738
19032651466834,-0.06374706,8.937174,4.036488
19032656225219,-0.06179788,8.937707,4.0353417
19032660983604,-0.05956732,8.938668,4.033241
19032665741990,-0.057337888,8.939553,4.031312
19032670500375,-0.056236852,8.939876,4.030614
19032675258813,-0.056969874,8.939848,4.030662
19032680017198,-0.059319515,8.939529,4.031338
19032684775584,-0.06239142,8.93882,4.0328627
19032689533969,-0.065793976,8.938008,4.0346093
19032694292354,-0.0683242,8.937205,4.0363445
19032699050740,-0.07140125,8.936548,4.037748
19032703809125,-0.07468736,8.935346,4.040347
19032708567511,-0.07787019,8.933923,4.0434337
19032713325948,-0.08048468,8.932909,4.0456195
19032718084334,-0.08119337,8.932307,4.0469365
19032722842719,-0.07987146,8.931909,4.0478415
19032727601104,-0.07637355,8.931706,4.048354
19032732359490,-0.07192221,8.931858,4.0481005
19032737117875,-0.06730964,8.932122,4.0475965
19032741876261,-0.063357346,8.932618,4.0465684
19032746634646,-0.06051302,8.933445,4.0447845
19032751393032,-0.05892112,8.934447,4.042594
19032756151469,-0.058827348,8.935491,4.0402875
19032760909854,-0.0590446,8.936533,4.0379796
19032765668240,-0.058245115,8.937708,4.0353913
19032770426625,-0.05464049,8.938755,4.033121
19032775185011,-0.047943,8.939712,4.031085
19032779943396,-0.03850481,8.94074,4.0289073
19032784701782,-0.028681466,8.941798,4.0266376
19032789460167,-0.020012565,8.942504,4.025123
19032794218552,-0.013785979,8.942831,4.024423
19032798976938,-0.009973304,8.943061,4.023922
19032803735375,-0.007173973,8.943321,4.02335
19032808493761,-0.0048553566,8.943411,4.0231533
19032813252146,-0.002375997,8.943326,4.0233445
19032818010532,0.0010113361,8.943009,4.0240507
19032822768917,0.005726458,8.942481,4.02522
19032827527302,0.011634628,8.941985,4.0263076
19032832285688,0.019092822,8.941386,4.027609
19032837044125,0.02713501,8.941132,4.0281267
19032841802511,0.033970032,8.940839,4.028727
19032846560896,0.037645686,8.940474,4.0295033
19032851319282,0.037351653,8.940067,4.0304074
19032856077667,0.032201514,8.940108,4.0303626
19032860836052,0.0244171,8.940579,4.0293703
19032865594438,0.015233196,8.940527,4.0295334
19032870352823,0.008183638,8.940062,4.030587
19032875111261,0.0052748797,8.939996,4.030736
19032879869646,0.006605506,8.940198,4.0302863
19032884628032,0.011754991,8.940032,4.030642
19032889386417,0.018836202,8.939815,4.0310993
19032894144802,0.02719828,8.940021,4.030594
19032898903188,0.035960793,8.940491,4.02948
19032903661573,0.0445805,8.940897,4.028495
19032908419959,0.05239757,8.941518,4.027022
19032913178344,0.059020482,8.942371,4.025034
19032917936729,0.064339176,8.943075,4.023388
19032922695167,0.06960769,8.943237,4.0229397
19032927453552,0.076620564,8.943432,4.02238
19032932211938,0.08600921,8.944029,4.0208635
19032936970323,0.09742731,8.944406,4.0197625
19032941728709,0.10927131,8.944526,4.019192
19032946487094,0.12012634,8.94488,4.0180964
19032951245479,0.12917025,8.945381,4.0166993
19032956003865,0.13637139,8.945652,4.0158553
19032960762302,0.14223099,8.945865,4.0151787
19032965520688,0.14717327,8.946142,4.014382
19032970279073,0.15151395,8.94625,4.013982
19032975037459,0.15536687,8.946163,4.0140266
19032979795844,0.15897684,8.946136,4.013946
19032984554229,0.1630154,8.946202,4.0136375
19032989312615,0.16747816,8.946322,4.0131865
19032994071000,0.17130698,8.946481,4.01267
19032998829386,0.17338213,8.94665,4.012203
19033003587823,0.17333743,8.946818,4.0118313
19033008346209,0.17174575,8.946674,4.01222
19033013104594,0.16967899,8.9463825,4.012959
19033017862979,0.16821095,8.946089,4.013675
19033022621365,0.16813934,8.945664,4.014625
19033027379750,0.17014107,8.945001,4.016019
19033032138136,0.1742149,8.944318,4.0173655
19033036896521,0.18014565,8.943484,4.0189586
19033041654907,0.18691815,8.942593,4.0206327
19033046413292,0.1934968,8.941725,4.0222516
19033051171729,0.19893229,8.941204,4.023143
19033055930115,0.20201571,8.940853,4.0237703
19033060688500,0.20305516,8.940698,4.024065
19033065446886,0.20264184,8.940829,4.0237894
19033070205271,0.20193146,8.941081,4.023268
19033074963657,0.20221128,8.941456,4.02242
19033079722042,0.20418206,8.941795,4.0215673
19033084480427,0.20807084,8.9421015,4.020685
19033089238813,0.21302399,8.942415,4.019728
