t_ns,ax,ay,az,accuracy
18827403867423,-0.80877405,8.671589,4.3932223,3
18827406246642,-0.6029913,8.690732,4.3405805,3
18827408625861,-0.36370903,8.748159,4.316652,3
18827411005131,-0.20578274,8.819944,4.3645086,3
18827413384402,-0.09092726,8.819944,4.4075794,3
18827415763621,-0.05742774,8.781659,4.4889355,3
18827418142892,-0.05742774,8.762517,4.517649,3
18827420522111,-0.014356935,8.800801,4.493721,3
18827422901329,-0.043070808,8.82473,4.4075794,3
18827425280600,-0.2105684,8.925228,4.273581,3
18827427659871,-0.4642076,9.355937,4.321438,3
18827430039090,-0.32542387,9.236296,4.168297,3
18827432418361,-0.22013968,8.413164,3.8380876,3
18827434797579,-1.0049855,8.738588,3.751946,3
18827437176850,-1.1006985,9.413364,3.5892339,3
18827439556069,-0.46899325,9.059227,3.871587,3
18827441935340,-0.72741807,8.489735,4.106084,3
18827444314559,-1.3926228,8.537591,3.7854455,3
18827446693829,-1.3160524,9.250652,3.9242291,3
18827449073048,-0.70348984,9.298509,4.5894337,3
18827451452319,-0.47377887,8.863015,4.321438,3
18827453831538,-0.8279166,8.992228,3.2590244,3
18827456210809,-0.5168497,9.303294,2.656033,3
18827458590027,0.24885355,9.212367,3.2877383,3
18827460969298,0.4977071,9.035298,4.1922255,3
18827463348517,0.023928227,9.049655,4.85743,3
18827465727788,0.02871387,8.781659,5.1206403,3
18827468107006,0.51206404,8.652447,4.9579287,3
18827470486277,0.7082755,9.193225,4.2831526,3
18827472865496,0.52163535,9.480363,3.694518,3
18827475244767,0.34456646,9.049655,3.751946,3
18827477623986,0.076570325,8.695518,4.4745784,3
18827480003256,-0.22971097,8.939586,5.2642097,3
18827482382475,-0.43070808,9.016156,5.5704913,3
18827484761746,-0.5838487,8.729017,5.211568,3
18827487140965,-0.8327023,8.575876,4.3357944,3
18827489520236,-1.038485,8.815159,3.6801612,3
18827491899454,-1.1102697,8.834301,3.6323047,3
18827494278725,-1.3495519,8.63809,4.058227,3
18827496657944,-1.8329022,8.451449,4.4171505,3
18827499037215,-2.2731814,8.451449,4.6899323,3
18827501416434,-2.3018954,8.403593,4.6899323,3
18827503795704,-2.2636101,8.480164,4.402794,3
18827506174923,-2.349752,8.537591,3.8141594,3
18827508554194,-2.498107,8.652447,3.4504502,3
18827510933413,-2.37368,8.6141615,3.641876,3
18827513312631,-2.105684,8.618947,4.1443686,3
18827515691902,-1.8903298,8.695518,4.536792,3
18827518071173,-1.6558332,8.71466,4.651647,3
18827520450392,-1.2586247,8.695518,4.493721,3
18827522829663,-0.7322037,8.843872,4.1635113,3
18827525208881,-0.26799613,9.068798,3.9673,3
18827527588152,0.0526421,9.068798,3.991228,3
18827529967371,0.2440679,8.920443,4.220939,3
18827532346642,0.4211368,8.977871,4.584648,3
18827534725861,0.64606214,9.159725,4.900501,3
18827537105131,0.83748794,9.23151,4.9579287,3
18827539484350,0.8662018,9.202796,4.5655055,3
18827541863621,0.75613195,9.298509,4.1204405,3
18827544242840,0.7322037,9.38465,3.9290147,3
18827546622111,0.6269195,9.327223,4.0295134,3
18827549001329,0.17228323,9.131011,4.211368,3
18827551380600,-0.4546363,9.08794,4.388437,3
18827553759819,-0.8853444,9.020942,4.5320063,3
18827556139090,-1.2346965,9.040084,4.536792,3
18827558518309,-1.6797615,9.044869,4.2448673,3
18827560897579,-2.2205393,9.078369,3.7950168,3
18827563276798,-2.6416762,9.221938,3.5988052,3
18827565656069,-2.8426733,9.265009,3.8093736,3
18827568035288,-2.9958138,9.035298,4.139583,3
18827570414506,-3.3260236,8.930014,4.254439,3
18827572793777,-3.4360933,9.044869,4.2017965,3
18827575173048,-3.2063823,9.025727,4.1491547,3
18827577552267,-2.9192436,8.915657,3.9338005,3
18827579931538,-2.766103,8.944371,3.6514473,3
18827582310756,-2.5172493,8.9348,3.603591,3
18827584690027,-2.1008983,8.786445,3.871587,3
18827587069246,-1.6893328,8.676374,4.101298,3
18827589448465,-1.3495519,8.738588,4.1491547,3
18827591827684,-0.9379865,8.752945,4.048656,3
18827594207006,-0.4546363,8.676374,3.900301,3
18827596586225,-0.038285162,8.709874,3.6610186,3
18827598965496,0.29192436,8.853444,3.5030923,3
18827601344767,0.5886344,8.863015,3.5270207,3
18827603723986,0.8662018,8.781659,3.6131623,3
18827606103204,0.98584294,8.834301,3.6466618,3
18827608482475,1.0767702,8.9348,3.5892339,3
18827610861694,1.1389836,8.920443,3.4743786,3
18827613240965,1.0671989,8.9108715,3.3499517,3
18827615620184,0.85184485,9.044869,3.249453,3
18827617999454,0.6029913,9.145369,3.3212378,3
18827620378725,0.33020952,9.217153,3.5365918,3
18827622757944,-0.05742774,9.365508,3.6658044,3
18827625137215,-0.45942193,9.52822,3.641876,3
18827627516434,-0.8327023,9.68136,3.5892339,3
18827629895652,-1.1485549,9.772287,3.5126636,3
18827632274923,-1.5074782,9.9015,3.4504502,3
18827634654194,-1.9142581,9.987641,3.426522,3
18827637033413,-2.2492533,9.934999,3.5126636,3
18827639412631,-2.5124638,9.858429,3.641876,3
18827641791902,-2.7278178,9.834501,3.751946,3
18827644171121,-2.833102,9.74836,3.7471602,3
18827646550392,-2.833102,9.590433,3.7471602,3
18827648929611,-2.684747,9.336794,3.6514473,3
18827651308881,-2.5555346,9.174082,3.6227336,3
18827653688100,-2.3641088,9.030513,3.6849468,3
18827656067371,-2.009971,8.781659,3.804588,3
18827658446642,-1.698904,8.585447,3.9290147,3
18827660825861,-1.3926228,8.484949,4.0390844,3
18827663205079,-0.9762716,8.374879,4.125226,3
18827665584350,-0.5407779,8.331808,4.240082,3
18827667963569,-0.148355,8.240881,4.359723,3
18827670342840,0.20578274,8.212168,4.479364,3
18827672722059,0.60777694,8.183454,4.627719,3
18827675101329,0.9619147,8.30788,4.948357,3
18827677480548,1.2969099,8.226524,5.2307105,3
18827679859767,1.3782659,8.260024,5.2833524,3
18827682239038,1.3878372,8.350951,5.1158547,3
18827684618309,1.4213367,8.427522,5.0440702,3
18827686997527,1.3686945,8.499306,5.0536413,3
18827689376798,1.038485,8.666803,5.0919266,3
18827691756017,0.6412765,8.719446,5.096712,3
18827694135288,0.22492532,8.705089,5.1493545,3
18827696514506,-0.17706887,8.776874,5.130212,3
18827698893777,-0.6221339,8.949157,5.015356,3
18827701272996,-1.0049855,8.968299,4.790431,3
18827703652267,-1.3686945,9.01137,4.651647,3
18827706031486,-1.6654046,9.068798,4.551149,3
18827708410756,-1.9477576,9.188439,4.5798626,3
18827710789975,-2.1296122,9.126225,4.618148,3
18827713169246,-2.2971098,9.08794,4.599005,3
18827715548465,-2.306681,9.0544405,4.45065,3
18827717927736,-2.2588246,9.059227,4.321438,3
18827720306954,-2.1248264,9.020942,4.1778684,3
18827722686225,-1.9573289,8.963513,4.0869412,3
18827725065444,-1.7324036,8.9348,4.0438704,3
18827727444715,-1.5170496,8.953942,4.1204405,3
18827729823934,-1.2299109,8.949157,4.197011,3
18827732203204,-0.94277215,8.963513,4.23051,3
18827734582423,-0.67477596,8.9826565,4.1587257,3
18827736961694,-0.45942193,8.958728,4.1443686,3
18827739340913,-0.25842485,8.834301,4.1922255,3
18827741720184,-0.2009971,8.724232,4.0869412,3
18827744099402,-0.29192436,9.016156,4.0103707,3
18827746478673,-0.20578274,9.221938,4.072584,3
18827748857892,-0.35413775,9.346365,4.354937,3
