t_ns,ax,ay,az,accuracy
30768626006412,-1.6701902,8.786445,4.3645086,3
30768628385318,-1.5840486,8.810373,4.3501515,3
30768630764277,-1.4596218,8.886943,4.316652,3
30768633143183,-1.2921243,8.9108715,4.26401,3
30768635522089,-1.1485549,8.963513,4.1874394,3
30768637900995,-0.9523434,9.01137,4.106084,3
30768640279954,-0.74177504,9.016156,4.024728,3
30768642658860,-0.55034924,9.025727,3.9481573,3
30768645037766,-0.3589234,9.040084,3.8907297,3
30768647416724,-0.16749759,9.0544405,3.8572302,3
30768649795631,0.0047856453,9.078369,3.7998023,3
30768652174537,0.13399807,9.092726,3.751946,3
30768654553443,0.23928227,9.107083,3.6658044,3
30768656932402,0.29192436,9.126225,3.603591,3
30768659311308,0.31585258,9.150154,3.5318062,3
30768661690214,0.2536392,9.19801,3.6179478,3
30768664069172,0.22492532,9.12144,3.522235,3
30768666448079,-0.05742774,9.245867,3.507878,3
30768668826985,-0.033499517,9.241081,3.4360933,3
30768671205943,-0.2440679,9.241081,3.359523,3
30768673584849,-0.33499518,9.269794,3.249453,3
30768675963756,-0.38763726,9.303294,3.278167,3
30768678342714,-0.43070808,9.269794,3.2303107,3
30768680721620,-0.59342,9.336794,3.196811,3
30768683100527,-0.6221339,9.327223,3.1441689,3
30768685479433,-0.61734825,9.327223,3.1250265,3
30768687858391,-0.6987042,9.341579,3.0915267,3
30768690237297,-0.7704889,9.403793,3.101098,3
30768692616204,-0.7800602,9.403793,3.1250265,3
30768694995110,-0.81834537,9.3511505,3.0723844,3
30768697374068,-0.80877405,9.38465,3.0867412,3
30768699752974,-0.7465607,9.408579,3.1058838,3
30768702131933,-0.66999036,9.442079,3.0723844,3
30768704510839,-0.5886344,9.480363,3.062813,3
30768706889745,-0.5312066,9.509077,3.0580273,3
30768709268704,-0.44027936,9.489935,3.0436704,3
30768711647610,-0.37806597,9.542577,3.0388846,3
30768714026516,-0.3397808,9.542577,3.034099,3
30768716405422,-0.28713873,9.542577,3.034099,3
30768718784381,-0.19142582,9.628718,3.0388846,3
30768721163287,-0.2440679,9.772287,3.1489546,3
30768723542193,-0.19142582,9.7196455,3.062813,3
30768725921152,-0.3589234,9.777073,3.0436704,3
30768728300058,-0.43070808,9.82493,2.9862428,3
30768730678964,-0.6652047,9.796216,3.0197423,3
30768733057870,-0.83748794,9.690931,3.1489546,3
30768735436829,-1.0911272,9.710074,3.3403804,3
30768737815735,-1.2777673,9.623933,3.4073794,3
30768740194641,-1.4931214,9.504292,3.4217365,3
30768742573599,-1.6031911,9.456435,3.3547373,3
30768744952506,-1.7515461,9.413364,3.3164523,3
30768747331412,-1.8281165,9.312865,3.306881,3
30768749710370,-1.8855443,9.226724,3.4025939,3
30768752089277,-1.9477576,9.19801,3.4743786,3
30768754468183,-2.0195422,9.174082,3.5174494,3
30768756847141,-2.0482562,9.111869,3.4600215,3
30768759226047,-2.0865414,9.159725,3.3786657,3
30768761604954,-2.115255,9.164511,3.2733815,3
30768763983912,-2.1870399,9.145369,3.2685957,3
30768766362818,-2.2348964,9.12144,3.3499517,3
30768768741724,-2.254039,9.131011,3.4600215,3
30768771120631,-2.2636101,9.078369,3.5413775,3
30768773499589,-2.254039,9.064013,3.5988052,3
30768775878443,-2.158326,9.040084,3.5700915,3
30768778257402,-2.0338993,9.020942,3.5653057,3
30768780636360,-1.9094725,9.01137,3.6083765,3
30768783015266,-1.8424734,9.006584,3.7040894,3
30768785394172,-1.7228323,9.01137,3.7950168,3
30768787773131,-1.6462619,8.9826565,3.8285162,3
30768790152037,-1.5936198,8.992228,3.818945,3
30768792530891,-1.5409778,9.020942,3.7950168,3
30768794909849,-1.4979069,9.044869,3.7615173,3
30768797288808,-1.4931214,9.073584,3.7423747,3
30768799667714,-1.4883357,9.078369,3.751946,3
30768802046620,-1.5122639,9.08794,3.7615173,3
30768804425579,-1.5218352,9.064013,3.790231,3
30768806804485,-1.5361922,9.049655,3.790231,3
30768809183391,-1.5218352,9.064013,3.7806597,3
30768811562349,-1.5122639,9.030513,3.7806597,3
30768813941256,-1.5122639,9.006584,3.8093736,3
30768816320162,-1.4835501,8.973084,3.8524444,3
30768818699068,-1.4596218,8.9826565,3.9242291,3
30768821078027,-1.430908,8.925228,3.9481573,3
30768823456933,-1.3926228,8.930014,3.9577286,3
30768825835839,-1.3447664,8.925228,3.9146578,3
30768828214797,-1.253839,8.915657,3.9194436,3
