run,dir,variant,cut,t_cut,bias_cut_dps,bias_oracle_dps,bias_stand_dps,n,mean_deg,rms_deg,max_abs_deg,drift_deg,start_err_deg,end_err_deg,outage_s,brg_mean_deg,brg_rms_deg,brg_drift_deg
4,AB,kfct,c10,10.0,0.017,0.002,0.015,231,0.58,2.17,5.77,-2.94,2.09,-0.85,238.23,0.37,1.84,-2.38
4,AB,kfct,c30,30.0,0.014,0.002,0.015,212,-0.93,2.26,7.11,-1.05,-0.93,-1.98,218.23,-1.12,2.08,-2.12
4,AB,kfct,c60,60.0,0.01,0.002,0.015,181,-0.19,2.1,6.38,-1.52,0.71,-0.81,188.23,-0.45,1.8,-1.89
4,AB,kfct,turn,132.1,0.001,0.002,0.015,109,1.21,2.34,5.66,-0.49,1.5,1.01,116.08,0.92,1.95,-0.56
5,BA,kfct,c10,10.0,0.018,0.019,0.016,241,-0.08,2.2,8.68,-2.19,1.55,-0.63,245.54,-0.1,1.74,-2.28
5,BA,kfct,c30,30.0,0.015,0.019,0.016,221,-0.16,2.19,8.49,0.88,-1.28,-0.39,225.54,-0.15,1.71,-0.57
5,BA,kfct,c60,60.0,0.007,0.019,0.016,191,1.16,2.5,6.6,1.28,0.41,1.69,195.54,1.1,2.0,-0.0
5,BA,kfct,turn,107.9,0.018,0.019,0.016,143,-0.62,2.42,8.89,0.28,-1.12,-0.84,147.65,-0.76,1.92,-2.36
6,AB,kfct,c10,10.0,0.008,-0.002,0.008,192,1.33,2.48,6.25,4.08,0.65,4.73,196.21,2.4,3.92,0.85
6,AB,kfct,c30,30.0,0.011,-0.002,0.008,172,0.71,2.09,5.48,3.2,0.51,3.71,176.21,1.93,3.53,-1.85
6,AB,kfct,c60,60.0,0.011,-0.002,0.008,142,1.08,2.27,5.66,3.7,0.19,3.89,146.21,1.93,3.66,-1.46
6,AB,kfct,turn,93.5,-0.002,-0.002,0.008,108,2.88,3.47,7.42,3.94,2.03,5.98,112.71,3.59,4.88,7.06
8,BA,kfct,c10,10.0,0.022,0.03,0.021,220,-0.63,2.78,8.41,-0.74,0.03,-0.71,238.18,-0.76,2.37,-0.41
8,BA,kfct,c30,30.0,0.016,0.03,0.021,200,-0.0,2.73,9.08,1.02,-0.45,0.56,218.18,-0.12,2.24,0.37
8,BA,kfct,c60,60.0,0.013,0.03,0.021,170,0.62,2.88,9.91,1.18,0.31,1.49,188.18,0.46,2.32,0.5
8,BA,kfct,turn,96.4,0.018,0.03,0.021,134,-0.2,2.94,8.99,0.81,-0.36,0.44,151.83,-0.44,2.43,-0.52
9,AB,kfct,c10,10.0,0.005,0.014,0.006,213,3.08,3.86,9.22,3.93,1.18,5.11,218.62,2.87,4.83,5.01
9,AB,kfct,c30,30.0,0.011,0.014,0.006,193,1.33,2.54,7.25,2.64,-0.0,2.64,198.62,1.16,4.02,3.72
9,AB,kfct,c60,60.0,0.009,0.014,0.006,164,2.05,2.98,7.67,3.27,-0.08,3.19,168.62,2.12,4.41,6.07
9,AB,kfct,turn,113.0,0.026,0.014,0.006,110,0.23,2.22,7.03,0.57,-0.62,-0.06,115.57,0.53,4.02,6.2
10,BA,kfct,c10,10.0,0.015,0.026,0.016,204,1.14,2.12,7.63,-2.03,1.08,-0.94,206.99,1.52,3.55,1.34
10,BA,kfct,c30,30.0,0.015,0.026,0.016,183,1.1,2.09,7.51,-1.63,0.59,-1.04,186.99,1.54,3.67,0.24
10,BA,kfct,c60,60.0,0.04,0.026,0.016,154,-2.26,3.2,7.54,-5.63,-0.71,-6.33,156.99,-1.77,4.11,-1.51
10,BA,kfct,turn,98.5,0.032,0.026,0.016,115,-1.68,2.66,6.1,-6.41,1.65,-4.77,118.44,-0.78,3.66,-8.87
11,AB,kfct,c10,10.0,0.014,0.011,0.014,185,1.12,2.22,9.08,-0.15,1.9,1.76,191.29,-0.28,3.81,0.27
11,AB,kfct,c30,30.0,0.011,0.011,0.014,165,0.9,2.15,8.67,2.53,-0.8,1.74,171.29,-0.3,3.77,9.5
11,AB,kfct,c60,60.0,0.005,0.011,0.014,135,2.12,2.88,9.37,3.29,-0.12,3.17,141.29,2.03,3.47,5.95
11,AB,kfct,turn,100.5,0.016,0.011,0.014,94,1.18,2.12,6.17,0.64,0.63,1.27,100.76,1.54,2.78,5.92
12,BA,kfct,c10,10.0,0.013,0.017,0.013,266,-4.71,5.71,13.71,0.82,-4.53,-3.7,271.94,-4.88,5.42,0.73
